# File Name: TESTWORDS.txt
# File Size: 173478      
# File Date: 07/19/2023 00:10:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2023
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---English---Brenton-English-Septuagint	0	eternity=2/0/0, eternal=7/0/0, forever=7/0/0, everlasting=61/0/0, for ever and ever=24/0/0, for every and ever=0/0/0, GROUP=101/0/0	eternity=2/0/2, eternal=7/0/7, forever=7/0/7, everlasting=61/0/61, evermore=7/0/7, and ever=25/0/25, for ever=307/0/307, always=26/0/26, immortal=0/0/0, age-during=0/0/0, age=32/3/29, ages=2/0/2, of old=35/1/34, world=46/0/46, worlds=0/0/0, long ago=0/0/0, universe=0/0/0, this life=0/0/0, earliest times=0/0/0, all the years=1/0/1, life without end=0/0/0, last days=11/0/11, present order=0/0/0, time to come=2/0/2, from the first=8/0/8, all times=10/0/10, the true=3/0/3, present life=0/0/0, order of the generations=0/0/0, last day=1/0/1, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=1/0/1, from the very first=0/0/0, only true=1/0/1, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=595/4/591	hell=23/20/3, GROUP=23/20/3	hell=23/20/3, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=30/25/5, abyss=1/0/1, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=117/108/9	hell=23/20/3, sheol=63/63/0, hades=30/25/5, grave's=0/0/0, the grave=22/15/7, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=2/1/1, the deepest pit=0/0/0, into the pit=4/0/4, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=145/124/21	hell=23/20/3, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=23/20/3	hell=23/20/3, hades=30/25/5, underworld=0/0/0, grave's=0/0/0, grave=28/15/13, sheol=63/63/0, GROUP=144/123/21	hell=23/20/3, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=23/20/3	abyss=1/0/1, the deep=22/1/21, great deep=3/0/3, bottomless pit=0/0/0, the pit=26/3/23, depths below=0/0/0, GROUP=52/4/48	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---English---British-English-Septuagint-2012	0	eternity=2/0/0, eternal=7/0/0, forever=8/0/0, everlasting=61/0/0, for ever and ever=24/0/0, for every and ever=0/0/0, GROUP=102/0/0	eternity=2/0/2, eternal=7/0/7, forever=8/0/8, everlasting=61/0/61, evermore=7/0/7, and ever=25/0/25, for ever=306/0/306, always=26/0/26, immortal=0/0/0, age-during=0/0/0, age=32/3/29, ages=2/0/2, of old=35/1/34, world=46/0/46, worlds=0/0/0, long ago=0/0/0, universe=0/0/0, this life=0/0/0, earliest times=0/0/0, all the years=1/0/1, life without end=0/0/0, last days=11/0/11, present order=0/0/0, time to come=2/0/2, from the first=5/0/5, all times=10/0/10, the true=4/0/4, present life=0/0/0, order of the generations=0/0/0, last day=1/0/1, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=1/0/1, from the very first=0/0/0, only true=1/0/1, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=593/4/589	hell=23/20/3, GROUP=23/20/3	hell=23/20/3, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=30/25/5, abyss=1/0/1, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=117/108/9	hell=23/20/3, sheol=63/63/0, hades=30/25/5, grave's=0/0/0, the grave=22/15/7, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=2/1/1, the deepest pit=0/0/0, into the pit=4/0/4, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=145/124/21	hell=23/20/3, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=23/20/3	hell=23/20/3, hades=30/25/5, underworld=0/0/0, grave's=0/0/0, grave=28/15/13, sheol=63/63/0, GROUP=144/123/21	hell=23/20/3, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=23/20/3	abyss=1/0/1, the deep=22/1/21, great deep=3/0/3, bottomless pit=0/0/0, the pit=26/3/23, depths below=0/0/0, GROUP=52/4/48	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---English---Catholic-Public-Domain	0	GROUP=0/0/0	eternity=127/22/105, eternal=108/62/46, forever=182/35/147, everlasting=72/4/68, evermore=0/0/0, and ever=44/23/21, for ever=0/0/0, always=103/1/102, immortal=1/1/0, age-during=0/0/0, age=116/28/88, ages=31/10/21, of old=6/0/6, world=220/14/206, worlds=0/0/0, long ago=4/0/4, universe=0/0/0, this life=5/1/4, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=13/0/13, present order=0/0/0, time to come=0/0/0, from the first=13/0/13, all times=25/0/25, the true=11/1/10, present life=0/0/0, order of the generations=0/0/0, last day=8/2/6, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=3/0/3, from the very first=0/0/0, only true=2/1/1, for all time=15/1/14, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1109/206/903	hell=73/67/6, GROUP=73/67/6	hell=73/67/6, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=38/10/28, bottomless pit=0/0/0, depths below=1/0/1, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=175/140/35	hell=73/67/6, sheol=63/63/0, hades=0/0/0, grave's=0/0/0, the grave=8/3/5, underworld=10/10/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=22/4/18, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=0/0/0, GROUP=176/147/29	hell=73/67/6, gehenna=0/0/0, gehinnom=0/0/0, underworld=10/10/0, GROUP=83/77/6	hell=73/67/6, hades=0/0/0, underworld=10/10/0, grave's=0/0/0, grave=13/3/10, sheol=63/63/0, GROUP=159/143/16	hell=73/67/6, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=73/67/6	abyss=38/10/28, the deep=5/0/5, great deep=0/0/0, bottomless pit=0/0/0, the pit=35/5/30, depths below=1/0/1, GROUP=79/15/64	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=4/4/0, pool burning with fire=1/1/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=4/0/4, GROUP=4/0/4
Holy-Bible---English---Darby-Translation	0	eternity=18/7/0, eternal=67/63/0, forever=0/0/0, everlasting=90/4/0, for ever and ever=19/0/0, for every and ever=0/0/0, GROUP=194/74/0	eternity=18/7/11, eternal=67/63/4, forever=0/0/0, everlasting=90/4/86, evermore=17/0/17, and ever=20/0/20, for ever=322/24/298, always=55/0/55, immortal=0/0/0, age-during=0/0/0, age=49/17/32, ages=41/34/7, of old=53/0/53, world=208/20/188, worlds=2/2/0, long ago=10/0/10, universe=0/0/0, this life=6/2/4, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=3/0/3, present order=0/0/0, time to come=3/0/3, from the first=6/0/6, all times=14/0/14, the true=15/1/14, present life=0/0/0, order of the generations=0/0/0, last day=7/2/5, coming time=0/0/0, order of events=0/0/0, cares of life=2/1/1, since time was=1/1/0, time began=2/1/1, lasting=2/0/2, from the very first=0/0/0, only true=1/1/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1014/180/834	hell=12/12/0, GROUP=12/12/0	hell=12/12/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=10/10/0, abyss=8/8/0, bottomless pit=1/1/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=4/4/0, lake that burns with fire=0/0/0, GROUP=98/98/0	hell=12/12/0, sheol=63/63/0, hades=10/10/0, grave's=0/0/0, the grave=10/0/10, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=1/1/0, into the pit=12/3/9, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=2/0/2, GROUP=110/89/21	hell=12/12/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=12/12/0	hell=12/12/0, hades=10/10/0, underworld=0/0/0, grave's=0/0/0, grave=24/0/24, sheol=63/63/0, GROUP=109/85/24	hell=12/12/0, tartarus=0/0/0, the deepest pit of gloom=1/1/0, GROUP=13/13/0	abyss=8/8/0, the deep=25/1/24, great deep=4/0/4, bottomless pit=1/1/0, the pit=50/7/43, depths below=0/0/0, GROUP=88/17/71	lake of fire=4/4/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=1/1/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=1/0/1, GROUP=1/0/1
Holy-Bible---English---Douay-Rheims-1899	0	GROUP=0/0/0	eternity=18/3/15, eternal=36/27/9, forever=2/0/2, everlasting=112/41/71, evermore=15/1/14, and ever=54/21/33, for ever=368/53/315, always=141/0/141, immortal=1/1/0, age-during=0/0/0, age=56/0/56, ages=13/5/8, of old=51/0/51, world=253/47/206, worlds=0/0/0, long ago=4/0/4, universe=0/0/0, this life=6/1/5, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=9/0/9, present order=0/0/0, time to come=8/1/7, from the first=8/0/8, all times=24/0/24, the true=16/2/14, present life=0/0/0, order of the generations=0/0/0, last day=7/2/5, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=5/0/5, from the very first=0/0/0, only true=1/1/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1208/206/1002	hell=91/85/6, GROUP=91/85/6	hell=91/85/6, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=2/2/0, bottomless pit=6/6/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=162/156/6	hell=91/85/6, sheol=63/63/0, hades=0/0/0, grave's=0/0/0, the grave=8/0/8, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=1/1/0, the deepest pit=1/1/0, into the pit=20/4/16, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=185/154/31	hell=91/85/6, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=91/85/6	hell=91/85/6, hades=0/0/0, underworld=0/0/0, grave's=0/0/0, grave=18/0/18, sheol=63/63/0, GROUP=172/148/24	hell=91/85/6, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=91/85/6	abyss=2/2/0, the deep=26/2/24, great deep=4/0/4, bottomless pit=6/6/0, the pit=41/6/35, depths below=0/0/0, GROUP=79/16/63	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=4/4/0, pool burning with fire=1/1/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=1/0/1, GROUP=1/0/1
Holy-Bible---English---Family-35-NT	0	GROUP=0/0/0	eternity=1/1/0, eternal=66/65/1, forever=38/35/3, everlasting=4/4/0, evermore=0/0/0, and ever=21/21/0, for ever=7/7/0, always=58/0/58, immortal=1/1/0, age-during=0/0/0, age=33/26/7, ages=14/14/0, of old=1/0/1, world=163/14/149, worlds=0/0/0, long ago=4/1/3, universe=0/0/0, this life=4/1/3, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=4/0/4, present order=0/0/0, time to come=1/1/0, from the first=2/0/2, all times=2/0/2, the true=11/0/11, present life=1/0/1, order of the generations=0/0/0, last day=6/2/4, coming time=0/0/0, order of events=0/0/0, cares of life=1/0/1, since time was=0/0/0, time began=2/2/0, lasting=0/0/0, from the very first=0/0/0, only true=1/1/0, for all time=1/0/1, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=447/196/251	hell=8/8/0, GROUP=8/8/0	hell=8/8/0, sheol=0/0/0, gehenna=4/4/0, gehinnom=0/0/0, hades=11/11/0, abyss=9/9/0, bottomless pit=0/0/0, depths below=0/0/0, tartarus=1/1/0, lake of fire=4/4/0, lake that burns with fire=1/1/0, GROUP=38/38/0	hell=8/8/0, sheol=0/0/0, hades=11/11/0, grave's=0/0/0, the grave=3/0/3, underworld=0/0/0, place of the dead=1/0/1, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=0/0/0, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=0/0/0, GROUP=23/19/4	hell=8/8/0, gehenna=4/4/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=12/12/0	hell=8/8/0, hades=11/11/0, underworld=0/0/0, grave's=0/0/0, grave=4/0/4, sheol=0/0/0, GROUP=23/19/4	hell=8/8/0, tartarus=1/1/0, the deepest pit of gloom=0/0/0, GROUP=9/9/0	abyss=9/9/0, the deep=2/0/2, great deep=0/0/0, bottomless pit=0/0/0, the pit=0/0/0, depths below=0/0/0, GROUP=11/9/2	lake of fire=4/4/0, lake that burns with fire=1/1/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---English---Free-Bible-Version	0	GROUP=0/0/0	eternity=12/2/10, eternal=100/70/30, forever=332/32/300, everlasting=26/1/25, evermore=0/0/0, and ever=46/22/24, for ever=20/16/4, always=261/1/260, immortal=4/3/1, age-during=0/0/0, age=41/5/36, ages=5/2/3, of old=2/0/2, world=298/31/267, worlds=1/1/0, long ago=40/4/36, universe=6/2/4, this life=15/4/11, earliest times=0/0/0, all the years=2/0/2, life without end=0/0/0, last days=12/1/11, present order=0/0/0, time to come=3/0/3, from the first=6/0/6, all times=4/0/4, the true=16/1/15, present life=1/0/1, order of the generations=0/0/0, last day=6/2/4, coming time=1/0/1, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=10/1/9, from the very first=0/0/0, only true=2/1/1, for all time=22/1/21, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1294/203/1091	hell=0/0/0, GROUP=0/0/0	hell=0/0/0, sheol=63/63/0, gehenna=5/5/0, gehinnom=0/0/0, hades=6/6/0, abyss=9/8/1, bottomless pit=0/0/0, depths below=2/0/2, tartarus=1/1/0, lake of fire=4/4/0, lake that burns with fire=1/1/0, GROUP=91/88/3	hell=0/0/0, sheol=63/63/0, hades=6/6/0, grave's=1/1/0, the grave=78/36/42, underworld=0/0/0, place of the dead=2/1/1, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=5/2/3, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=0/0/0, GROUP=155/109/46	hell=0/0/0, gehenna=5/5/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=5/5/0	hell=0/0/0, hades=6/6/0, underworld=0/0/0, grave's=1/1/0, grave=97/40/57, sheol=63/63/0, GROUP=167/110/57	hell=0/0/0, tartarus=1/1/0, the deepest pit of gloom=0/0/0, GROUP=1/1/0	abyss=9/8/1, the deep=15/1/14, great deep=0/0/0, bottomless pit=0/0/0, the pit=14/3/11, depths below=2/0/2, GROUP=40/12/28	lake of fire=4/4/0, lake that burns with fire=1/1/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=5/5/0	NULL=1/0/1, GROUP=1/0/1
Holy-Bible---English---Geneva-Bible	0	GROUP=0/0/0	eternity=0/0/0, eternal=3/3/0, forever=0/0/0, everlasting=0/0/0, evermore=0/0/0, and ever=0/0/0, for ever=0/0/0, always=0/0/0, immortal=0/0/0, age-during=0/0/0, age=55/0/55, ages=8/2/6, of old=7/0/7, world=209/36/173, worlds=2/0/2, long ago=2/0/2, universe=0/0/0, this life=8/1/7, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=0/0/0, present order=0/0/0, time to come=8/2/6, from the first=10/0/10, all times=7/0/7, the true=7/0/7, present life=0/0/0, order of the generations=0/0/0, last day=8/2/6, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=0/0/0, from the very first=0/0/0, only true=0/0/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=334/46/288	hell=41/41/0, GROUP=41/41/0	hell=41/41/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=0/0/0, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=4/4/0, lake that burns with fire=0/0/0, GROUP=108/108/0	hell=41/41/0, sheol=63/63/0, hades=0/0/0, grave's=0/0/0, the grave=0/0/0, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=12/5/7, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=1/0/1, GROUP=117/109/8	hell=41/41/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=41/41/0	hell=41/41/0, hades=0/0/0, underworld=0/0/0, grave's=0/0/0, grave=0/0/0, sheol=63/63/0, GROUP=104/104/0	hell=41/41/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=41/41/0	abyss=0/0/0, the deep=0/0/0, great deep=0/0/0, bottomless pit=0/0/0, the pit=43/8/35, depths below=0/0/0, GROUP=43/8/35	lake of fire=4/4/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=4/4/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---English---Gods-Living-Word	0	GROUP=0/0/0	eternity=0/0/0, eternal=17/17/0, forever=8/7/1, everlasting=6/6/0, evermore=0/0/0, and ever=0/0/0, for ever=0/0/0, always=6/0/6, immortal=0/0/0, age-during=0/0/0, age=2/0/2, ages=0/0/0, of old=0/0/0, world=77/4/73, worlds=0/0/0, long ago=0/0/0, universe=0/0/0, this life=1/1/0, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=0/0/0, present order=0/0/0, time to come=0/0/0, from the first=0/0/0, all times=0/0/0, the true=6/1/5, present life=0/0/0, order of the generations=0/0/0, last day=6/2/4, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=0/0/0, from the very first=0/0/0, only true=1/1/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=130/39/91	hell=0/0/0, GROUP=0/0/0	hell=0/0/0, sheol=0/0/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=0/0/0, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=0/0/0	hell=0/0/0, sheol=0/0/0, hades=0/0/0, grave's=0/0/0, the grave=0/0/0, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=0/0/0, bars of the pit=0/0/0, alive into the pit=0/0/0, lowest pit=0/0/0, GROUP=0/0/0	hell=0/0/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=0/0/0	hell=0/0/0, hades=0/0/0, underworld=0/0/0, grave's=0/0/0, grave=0/0/0, sheol=0/0/0, GROUP=0/0/0	hell=0/0/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=0/0/0	abyss=0/0/0, the deep=0/0/0, great deep=0/0/0, bottomless pit=0/0/0, the pit=0/0/0, depths below=0/0/0, GROUP=0/0/0	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---English---Jewish-Bible	0	GROUP=0/0/0	eternity=1/0/1, eternal=2/0/2, forever=1/0/1, everlasting=67/0/67, evermore=10/0/10, and ever=23/0/23, for ever=335/0/335, always=13/0/13, immortal=0/0/0, age-during=0/0/0, age=26/0/26, ages=2/0/2, of old=58/0/58, world=85/43/42, worlds=0/0/0, long ago=7/0/7, universe=0/0/0, this life=1/0/1, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=0/0/0, present order=0/0/0, time to come=10/0/10, from the first=7/0/7, all times=9/0/9, the true=2/0/2, present life=0/0/0, order of the generations=0/0/0, last day=1/0/1, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=0/0/0, from the very first=0/0/0, only true=0/0/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=660/43/617	hell=0/0/0, GROUP=0/0/0	hell=0/0/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=0/0/0, bottomless pit=0/0/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=0/0/0, lake that burns with fire=0/0/0, GROUP=63/63/0	hell=0/0/0, sheol=63/63/0, hades=0/0/0, grave's=1/1/0, the grave=27/16/11, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=19/5/14, bars of the pit=0/0/0, alive into the pit=2/2/0, lowest pit=0/0/0, GROUP=112/87/25	hell=0/0/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=0/0/0	hell=0/0/0, hades=0/0/0, underworld=0/0/0, grave's=1/1/0, grave=43/16/27, sheol=63/63/0, GROUP=107/80/27	hell=0/0/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=0/0/0	abyss=0/0/0, the deep=25/1/24, great deep=5/0/5, bottomless pit=0/0/0, the pit=59/8/51, depths below=0/0/0, GROUP=89/9/80	lake of fire=0/0/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=0/0/0, GROUP=0/0/0	NULL=2/0/2, GROUP=2/0/2
Holy-Bible---English---King-James-Version	0	GROUP=0/0/0	eternity=1/0/1, eternal=47/45/2, forever=0/0/0, everlasting=91/26/65, evermore=26/3/23, and ever=47/21/26, for ever=380/47/333, always=59/0/59, immortal=1/1/0, age-during=0/0/0, age=42/0/42, ages=4/3/1, of old=58/0/58, world=249/48/201, worlds=2/2/0, long ago=4/0/4, universe=0/0/0, this life=6/1/5, earliest times=0/0/0, all the years=0/0/0, life without end=0/0/0, last days=8/1/7, present order=0/0/0, time to come=12/1/11, from the first=7/0/7, all times=8/0/8, the true=14/1/13, present life=0/0/0, order of the generations=0/0/0, last day=8/2/6, coming time=0/0/0, order of events=0/0/0, cares of life=0/0/0, since time was=0/0/0, time began=0/0/0, lasting=1/0/1, from the very first=1/0/1, only true=1/1/0, for all time=0/0/0, everliving=0/0/0, forevermore=0/0/0, truly life=0/0/0, GROUP=1077/203/874	hell=54/54/0, GROUP=54/54/0	hell=54/54/0, sheol=63/63/0, gehenna=0/0/0, gehinnom=0/0/0, hades=0/0/0, abyss=0/0/0, bottomless pit=7/7/0, depths below=0/0/0, tartarus=0/0/0, lake of fire=4/4/0, lake that burns with fire=0/0/0, GROUP=128/128/0	hell=54/54/0, sheol=63/63/0, hades=0/0/0, grave's=0/0/0, the grave=42/29/13, underworld=0/0/0, place of the dead=0/0/0, depth of the pit=0/0/0, the deepest pit=0/0/0, into the pit=14/5/9, bars of the pit=1/1/0, alive into the pit=1/1/0, lowest pit=1/0/1, GROUP=176/153/23	hell=54/54/0, gehenna=0/0/0, gehinnom=0/0/0, underworld=0/0/0, GROUP=54/54/0	hell=54/54/0, hades=0/0/0, underworld=0/0/0, grave's=0/0/0, grave=65/30/35, sheol=63/63/0, GROUP=182/147/35	hell=54/54/0, tartarus=0/0/0, the deepest pit of gloom=0/0/0, GROUP=54/54/0	abyss=0/0/0, the deep=27/3/24, great deep=4/0/4, bottomless pit=7/7/0, the pit=49/9/40, depths below=0/0/0, GROUP=87/19/68	lake of fire=4/4/0, lake that burns with fire=0/0/0, lake that burneth with fire=0/0/0, sea of ever-burning fire=0/0/0, sea of fire=0/0/0, lake which burns with fire=0/0/0, pool of fire=0/0/0, pool burning with fire=0/0/0, lake which burneth with fire=1/1/0, GROUP=5/5/0	NULL=0/0/0, GROUP=0/0/0
