# File Name: IVERSE.txt
# File Size: 891829      
# File Date: 12/23/2024 02:01:04
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	REF	TEXT
BIBLE	REFERENCE	TEXT
Holy-Bible---English---One-Unity-Resource-Bible	ROM-001-001		
Holy-Bible---English---One-Unity-Resource-Bible	MAT-028-019	Matthew 28:19	Go, and make disciples of all nations, baptizing them in the name of the Abba ·Father· and of the Son and of Ruach haKodesh [Spirit, Breath of the Holiness],
Holy-Bible---English---Open-English-Bible-Commonwealth	JOH-003-016	John 3:16	For God so loved the world, that he gave his only Son, so that everyone who believes in him may not be lost, but have eternal life.
Holy-Bible---English---Open-English-Bible-Commonwealth	GEN-003-024		
Holy-Bible---English---Open-English-Bible-Commonwealth	LUK-023-034	Luke 23:34	Then Jesus said, ‘Father, forgive them; they do not know what they are doing.’ His clothes they divided among them by casting lots.
Holy-Bible---English---Open-English-Bible-Commonwealth	REV-021-002	Revelation 21:2-3	And I saw the Holy City, Jerusalem, descending new out of heaven from God, like a bride adorned in readiness for her husband. And I heard a loud voice from the throne, which said – “See! The tent of God is set up among people. God will live among them, and they will be his Peoples, and God himself will be among them,
Holy-Bible---English---Open-English-Bible-Commonwealth	HEB-011-008	Hebrews 11:8	It was faith that enabled Abraham to obey the call that he received, and to set out for the place which he was afterwards to obtain as his own; and he set out not knowing where he was going.
Holy-Bible---English---Open-English-Bible-Commonwealth	EXO-013-017		
Holy-Bible---English---Open-English-Bible-Commonwealth	MAR-010-045	Mark 10:45	for even the Son of Man came, not be served, but to serve, and to give his life as a ransom for many.’
Holy-Bible---English---Open-English-Bible-Commonwealth	ROM-001-001	Romans 1:1	From Paul, a servant of Jesus Christ, who has been called to become an apostle, and has been set apart to tell God’s good news.
Holy-Bible---English---Open-English-Bible-Commonwealth	MAT-028-019	Matthew 28:19	Therefore go and make disciples of all the nations, baptizing them in the name of the Father, the Son, and the Holy Spirit,
Holy-Bible---English---Open-English-Bible-US	JOH-003-016	John 3:16	For God so loved the world, that he gave his only Son, so that everyone who believes in him may not be lost, but have eternal life.
Holy-Bible---English---Open-English-Bible-US	GEN-003-024		
Holy-Bible---English---Open-English-Bible-US	LUK-023-034	Luke 23:34	Then Jesus said, “Father, forgive them; they do not know what they are doing.” His clothes they divided among them by casting lots.
Holy-Bible---English---Open-English-Bible-US	REV-021-002	Revelation 21:2-3	And I saw the Holy City, Jerusalem, descending new out of heaven from God, like a bride adorned in readiness for her husband. And I heard a loud voice from the throne, which said – ‘See! The tent of God is set up among people. God will live among them, and they will be his Peoples, and God himself will be among them,
Holy-Bible---English---Open-English-Bible-US	HEB-011-008	Hebrews 11:8	It was faith that enabled Abraham to obey the call that he received, and to set out for the place which he was afterward to obtain as his own; and he set out not knowing where he was going.
Holy-Bible---English---Open-English-Bible-US	EXO-013-017		
Holy-Bible---English---Open-English-Bible-US	MAR-010-045	Mark 10:45	for even the Son of Man came, not be served, but to serve, and to give his life as a ransom for many.”
Holy-Bible---English---Open-English-Bible-US	ROM-001-001	Romans 1:1	From Paul, a servant of Jesus Christ, who has been called to become an apostle, and has been set apart to tell God’s good news.
Holy-Bible---English---Open-English-Bible-US	MAT-028-019	Matthew 28:19	Therefore go and make disciples of all the nations, baptizing them in the name of the Father, the Son, and the Holy Spirit,
Holy-Bible---English---Revised-Version	JOH-003-016	John 3:16	For God so loved the world, that he gave his only begotten Son, that whosoever believeth on him should not perish, but have eternal life.
Holy-Bible---English---Revised-Version	GEN-003-024	Genesis 3:24	So he drove out the man; and he placed at the east of the garden of Eden the Cherubim, and the flame of a sword which turned every way, to keep the way of the tree of life.
Holy-Bible---English---Revised-Version	LUK-023-034	Luke 23:34	And Jesus said, Father, forgive them; for they know not what they do. And parting his garments among them, they cast lots.
Holy-Bible---English---Revised-Version	REV-021-002	Revelation 21:2-3	And I saw the holy city, new Jerusalem, coming down out of heaven from God, made ready as a bride adorned for her husband. And I heard a great voice out of the throne saying, Behold, the tabernacle of God is with men, and he shall dwell with them, and they shall be his peoples, and God himself shall be with them, [and be] their God:
Holy-Bible---English---Revised-Version	HEB-011-008	Hebrews 11:8	By faith Abraham, when he was called, obeyed to go out unto a place which he was to receive for an inheritance; and he went out, not knowing whither he went.
Holy-Bible---English---Revised-Version	EXO-013-017	Exodus 13:17	And it came to pass, when Pharaoh had let the people go, that God led them not by the way of the land of the Philistines, although that was near; for God said, Lest peradventure the people repent when they see war, and they return to Egypt:
Holy-Bible---English---Revised-Version	MAR-010-045	Mark 10:45	For verily the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.
Holy-Bible---English---Revised-Version	ROM-001-001	Romans 1:1	Paul, a servant of Jesus Christ, called [to be] an apostle, separated unto the gospel of God,
Holy-Bible---English---Revised-Version	MAT-028-019	Matthew 28:19	Go ye therefore, and make disciples of all the nations, baptizing them into the name of the Father and of the Son and of the Holy Ghost:
Holy-Bible---English---Rotherham-Bible	JOH-003-016	John 3:16	For God, so loved, the world, that, his Only Begotten Son, he gave, —that, whosoever believeth on him, might not perish, but have life age-abiding.
Holy-Bible---English---Rotherham-Bible	GEN-003-024	Genesis 3:24	So he expelled the man, —and caused to dwell—in front of the garden of Eden—cherubim and a brandishing sword—flame, to keep the way to the tree of life.
Holy-Bible---English---Rotherham-Bible	LUK-023-034	Luke 23:34	But, Jesus, was saying—Father! forgive them; for they know not what they do. And, when they were parting his garments, they cast lots.
Holy-Bible---English---Rotherham-Bible	REV-021-002	Revelation 21:2-3	And, the holy city, new Jerusalem, saw I coming down out of heaven from God, prepared as a bride adorned for her husband. And I heard a loud voice out of the throne, saying—Lo! the tent of God, is with men, and he will tabernacle with them, and, they, shall be, his peoples, and, he, shall be, God with them;
Holy-Bible---English---Rotherham-Bible	HEB-011-008	Hebrews 11:8	By faith, being called, Abraham obeyed—to come forth into a place he was destined to receive for an inheritance; and he came forth, not well knowing whither he was coming.
Holy-Bible---English---Rotherham-Bible	EXO-013-017	Exodus 13:17	And it came to pass when Pharaoh had let the people go, that God did not lead by the land-way of the Philistines, although it was near, —for God said—Lest the people be dismayed when they see war and turn back to Egypt.
Holy-Bible---English---Rotherham-Bible	MAR-010-045	Mark 10:45	For, even the Son of Man, came not to be ministered unto, but minister, —and to give his life, a ransom instead of many.
Holy-Bible---English---Rotherham-Bible	ROM-001-001	Romans 1:1	Paul, a servant of Jesus Christ, a called apostle, separated unto the glad-message of God—
Holy-Bible---English---Rotherham-Bible	MAT-028-019	Matthew 28:19	Go ye, therefore, and disciple all the nations, Immersing them into the name of the Father, and of the Son, and of the Holy Spirit, —
Holy-Bible---English---STEPBible-Amalgamant	JOH-003-016	John 3:16	Thus for loved God the world, that the Son (of him *ko*) the only begotten He gave, so that everyone who is believing in Him not may perish but may have life eternal.
Holy-Bible---English---STEPBible-Amalgamant	GEN-003-024	Genesis 3:24	And he drove out the man and he caused to dwell from east of [the] garden of Eden the cherubim and [the] flame of the sword whirling to guard [the] way of [the] tree of life.
Holy-Bible---English---STEPBible-Amalgamant	LUK-023-034	Luke 23:34	And Jesus was saying; Father, do forgive them; not for they know what they do. Dividing then the garments of Him they cast (lots. *NK(o)*)
Holy-Bible---English---STEPBible-Amalgamant	REV-021-002	Revelation 21:2-3	And (I myself John *K*) the city holy Jerusalem new I saw coming down out of heaven from God prepared as a bride adorned for the husband of her. And I heard a voice great from the (throne *N(K)O*) saying: Behold the tabernacle of God [is] with men, and He will tabernacle with them. and they themselves (peoples *NK(o)*) of Him will be, and Himself God with them will be [as] their God.
Holy-Bible---English---STEPBible-Amalgamant	HEB-011-008	Hebrews 11:8	By faith (the [one] *o*) being called Abraham obeyed to go out into (*k*) a place that he was going to receive for an inheritance and went out not knowing where he is going.
Holy-Bible---English---STEPBible-Amalgamant	EXO-013-017	Exodus 13:17	And it was when let go Pharaoh the people and not he led them God [the] way of [the] land of [the] Philistines for [was] near it for - he said God lest it should regret the people when see they battle and they will return Egypt towards.
Holy-Bible---English---STEPBible-Amalgamant	MAR-010-045	Mark 10:45	Even for the Son of Man not came to be served but to serve and to give the life of Him [as] a ransom for many.
Holy-Bible---English---STEPBible-Amalgamant	ROM-001-001	Romans 1:1	Paul a servant of Christ Jesus a called apostle set apart for [the] gospel of God,
Holy-Bible---English---STEPBible-Amalgamant	MAT-028-019	Matthew 28:19	Having gone therefore do disciple all the nations (baptizing *NK(o)*) them in the name of the Father and of the Son and of the Holy Spirit,
Holy-Bible---English---STEPBible-Concordant	JOH-003-016	John 3:16	thus(-ly) for to love the/this/who God the/this/who world so the/this/who son (it/s/he *ko*) the/this/who unique to give in order that/to all the/this/who to trust (in) toward it/s/he not to destroy but to have/be life eternal
Holy-Bible---English---STEPBible-Concordant	GEN-003-024	Genesis 3:24	and to drive out: drive out [obj] [the] the man (Adam) and to dwell from front: east to/for garden Eden [obj] [the] cherub and [obj] flame [the] sword [the] to overturn to/for to keep: guard [obj] way: road tree [the] life
Holy-Bible---English---STEPBible-Concordant	LUK-023-034	Luke 23:34	the/this/who then Jesus to say father to release: forgive it/s/he no for to know which? to do/make: do to divide then the/this/who clothing it/s/he to throw: throw (lot *NK(o)*)
Holy-Bible---English---STEPBible-Concordant	REV-021-002	Revelation 21:2-3	and (I/we John *K*) the/this/who city the/this/who holy Jerusalem new to perceive: see to come/go down out from the/this/who heaven away from the/this/who God to make ready as/when bride to arrange the/this/who man: husband it/s/he and to hear voice/sound: voice great out from the/this/who (throne *N(K)O*) to say look! the/this/who tent the/this/who God with/after the/this/who a human and to dwell with/after it/s/he and it/s/he (a people *NK(o)*) it/s/he to be and it/s/he the/this/who God with/after it/s/he to be it/s/he God
Holy-Bible---English---STEPBible-Concordant	HEB-011-008	Hebrews 11:8	faith (the/this/who *o*) to call: call Abraham to obey to go out toward (the/this/who *k*) place which to ensue to take toward inheritance and to go out not to know/understand where? to come/go
Holy-Bible---English---STEPBible-Concordant	EXO-013-017	Exodus 13:17	and to be in/on/with to send: let go Pharaoh [obj] [the] people and not to lead them God way: road land: country/planet Philistine for near he/she/it for to say God lest to be sorry: relent [the] people in/on/with to see: see they battle and to return: return Egypt [to]
Holy-Bible---English---STEPBible-Concordant	MAR-010-045	Mark 10:45	and for the/this/who son the/this/who a human no to come/go to serve but to serve and to give the/this/who soul: life it/s/he ransom for much
Holy-Bible---English---STEPBible-Concordant	ROM-001-001	Romans 1:1	Paul slave Christ Jesus called apostle to separate toward gospel God
Holy-Bible---English---STEPBible-Concordant	MAT-028-019	Matthew 28:19	to travel therefore/then to disciple all the/this/who Gentiles (to baptize *NK(o)*) it/s/he toward the/this/who name the/this/who father and the/this/who son and the/this/who holy spirit/breath: spirit
Holy-Bible---English---Syriac-Peshitta-Etheridge	JOH-003-016	John 3:16	For so loved Aloha the world, as his Son, the Only-begotten, he would give, that every one who believeth in him might not perish, but have the life which is eternal.
Holy-Bible---English---Syriac-Peshitta-Etheridge	GEN-003-024		
Holy-Bible---English---Syriac-Peshitta-Etheridge	LUK-023-034	Luke 23:34	BUT Jeshu himself said, Father, forgive them; for they know not what they do. And they divided his garments, and cast for them lots.
Holy-Bible---English---Syriac-Peshitta-Etheridge	REV-021-002	Revelation 21:2-3	And the holy city, Urishlem the new, I saw descending from heaven from Aloha, prepared as the bride is decked for her husband. And I heard a great voice from heaven, saying, Behold, the tabernacle of Aloha is with men; and he will dwell with them, and they shall be his people; and Aloha himself will be with them, and will be their God.
Holy-Bible---English---Syriac-Peshitta-Etheridge	HEB-011-008	Hebrews 11:8	By faith Abraham, when he was called, heard that he was to go forth to a place which he should receive for an inheritance; and he went out, while he knew not whither he was going.
Holy-Bible---English---Syriac-Peshitta-Etheridge	EXO-013-017		
Holy-Bible---English---Syriac-Peshitta-Etheridge	MAR-010-045	Mark 10:45	For even the Son of man came not to be served, but to serve, and to give his life the ransom for many.
Holy-Bible---English---Syriac-Peshitta-Etheridge	ROM-001-001	Romans 1:1	PAULOS, a servant of Jeshu Meshiha, called, and an apostle, who hath been separated unto the gospel of Aloha,
Holy-Bible---English---Syriac-Peshitta-Etheridge	MAT-028-019	Matthew 28:19	As the Father sent me, so also I send you. Go therefore, disciple all nations, and baptize them in the name (of) the Father, and (of) the Son, and (of) the Spirit of Holiness.
Holy-Bible---English---Syriac-Peshitta-Murdock	JOH-003-016	John 3:16	For God so loved the world, that he gave his only begotten Son, that whosoever believeth on him, should not perish, but should have life eternal.
Holy-Bible---English---Syriac-Peshitta-Murdock	GEN-003-024		
Holy-Bible---English---Syriac-Peshitta-Murdock	LUK-023-034	Luke 23:34	And Jesus said: Father, forgive them; for they know not what they do. And they divided his garments, casting a lot upon them.
Holy-Bible---English---Syriac-Peshitta-Murdock	REV-021-002	Revelation 21:2-3	And I saw the holy city, the New Jerusalem, descending from God out of heaven, prepared like a bride adorned for her husband. And I heard a great voice from heaven, which said: Behold, the tabernacle of God is with men; and he dwelleth with them: they will be his people; and God will be with them, a God to them.
Holy-Bible---English---Syriac-Peshitta-Murdock	HEB-011-008	Hebrews 11:8	By faith Abraham, when he was called, obeyed, and departed to the place which he was to receive for an inheritance: and he departed, while he knew not whither he was going.
Holy-Bible---English---Syriac-Peshitta-Murdock	EXO-013-017		
Holy-Bible---English---Syriac-Peshitta-Murdock	MAR-010-045	Mark 10:45	And also the Son of man came, not to be served, but to serve; and to give his life a ransom for many.
Holy-Bible---English---Syriac-Peshitta-Murdock	ROM-001-001	Romans 1:1	PAUL, a servant of Jesus the Messiah, called and sent; and separated unto the gospel of God,
Holy-Bible---English---Syriac-Peshitta-Murdock	MAT-028-019	Matthew 28:19	Go ye, therefore, and instruct all nations; and baptize them in the name of the Father, and of the Son, and of the Holy Spirit.
Holy-Bible---English---Text-Critical	JOH-003-016	John 3:16	“For God loved the world in this way: He gave his one and only Son, so that whoever believes in him should not perish but have eternal life.
Holy-Bible---English---Text-Critical	GEN-003-024		
Holy-Bible---English---Text-Critical	LUK-023-034	Luke 23:34	But Jesus said, “Father, forgive them, for they do not know what they are doing.” Then they cast lots to divide his garments.
Holy-Bible---English---Text-Critical	REV-021-002	Revelation 21:2-3	I also saw the holy city, new Jerusalem, coming down out of heaven from God, prepared like a bride adorned for her husband. And I heard a loud voice from heaven saying, “Behold, the tabernacle of God is with men. He will dwell with them, and they will be his people, and God himself will be with them.
Holy-Bible---English---Text-Critical	HEB-011-008	Hebrews 11:8	By faith Abraham obeyed when he was called to go out to the place that he was to receive as an inheritance. And he went out, not knowing where he was going.
Holy-Bible---English---Text-Critical	EXO-013-017		
Holy-Bible---English---Text-Critical	MAR-010-045	Mark 10:45	For even the Son of Man came not to be served but to serve, and to give his life as a ransom for many.”
Holy-Bible---English---Text-Critical	ROM-001-001	Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the gospel of God,
Holy-Bible---English---Text-Critical	MAT-028-019	Matthew 28:19	Go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,
Holy-Bible---English---Trans-Trans	JOH-003-016	John 3:16	God loved us people [MTY] in the world so much that he gave his only Son [as a sacrifice for us], in order that everyone who believes in him would not be separated from God forever. Instead, they would have eternal life.
Holy-Bible---English---Trans-Trans	GEN-003-024	Genesis 3:24	After Yahweh expelled them, on the east side of the garden he placed (cherubim/creatures with wings) and [an angel holding] a flaming sword which flashed back and forth. He did that in order to block the entrance to the garden, so that people could not go back to the tree that enables people [who eat its fruit] to live [forever].
Holy-Bible---English---Trans-Trans	LUK-023-034	Luke 23:34	Jesus prayed, “[My] Father, forgive them, because they do not realize [whom] they are doing [this to]!” Then [the soldiers] divided Jesus’ clothing by gambling with something like dice, [to decide which piece of clothing each one would get].
Holy-Bible---English---Trans-Trans	REV-021-002	Revelation 21:2-3	I saw [God’s] holy city, which is the new [city of] Jerusalem. It was coming down out of heaven from God. [The city] had been prepared [and decorated] {[God] had prepared [and decorated the city]} as [SIM] a bride is decorated {decorates herself} [beautifully in order to marry] her husband. I heard a loud voice that spoke from the throne [of God]. It said, “Listen to this! Now God will live with people. He will live [right in the midst of] them [DOU]! They will be his people. God himself will be with them, and he will be their God.
Holy-Bible---English---Trans-Trans	HEB-011-008	Hebrews 11:8	It was because Abraham trusted God that when he was told to go {when [God] told him to go}, he obeyed [God], he left [his own country], and went to a place that God would give him. Abraham left his own country, even though he did not know where he would be going.
Holy-Bible---English---Trans-Trans	EXO-013-017	Exodus 13:17	When the king [of Egypt] let the [Israeli] people go, God did not lead them to go through the land of the Philistines. That was a shorter way, but God said, “It would be bad if my people change their minds when they realize that they will have to fight [the Philistines to take their land], and then [decide to] return to Egypt.”
Holy-Bible---English---Trans-Trans	MAR-010-045	Mark 10:45	[You should imitate me]. Even though I am the one who has come from heaven, I did not come to be served {for others to serve me}. On the contrary, I came in order to serve others and to allow others to kill me, in order that my dying for people would be like a payment to rescue [many people from being punished] {[God punishing them]} [for their sins].”
Holy-Bible---English---Trans-Trans	ROM-001-001	Romans 1:1	[I], Paul, who serve Christ Jesus, [am writing this letter]. God chose me to be an apostle, and I was appointed by him {he appointed me} in order that [I should proclaim] (the good message/the gospel) that [comes from him].
Holy-Bible---English---Trans-Trans	MAT-028-019	Matthew 28:19	So go, and [using my authority, teach my message to] people of all ethnic groups so that they may become my disciples. Baptize them [to be under the authority of] [MTY] my Father, and of me, his Son, and of the Holy Spirit.
Holy-Bible---English---Twentieth-Century-NT	JOH-003-016	John 3:16	For God so loved the world, that he gave his only Son, that every one who believes in him may not be lost, but have Immortal Life.
Holy-Bible---English---Twentieth-Century-NT	GEN-003-024		
Holy-Bible---English---Twentieth-Century-NT	LUK-023-034	Luke 23:34	Then Jesus said: “Father, forgive them; they do not know what they are doing.” His clothes they divided among them by casting lots.
Holy-Bible---English---Twentieth-Century-NT	REV-021-002	Revelation 21:2-3	And I saw the Holy City, Jerusalem, descending new out of Heaven from God, like a bride adorned in readiness for her husband. And I heard a loud voice from the throne, which said — ‘See! the Tabernacle of God is set up among men. God will dwell among them, and they will be his Peoples, and God himself will be among them,
Holy-Bible---English---Twentieth-Century-NT	HEB-011-008	Hebrews 11:8	It was faith that enabled Abraham to obey the Call that he received, and to set out for the place which he was afterwards to obtain as his own; and he set out not knowing where he was going.
Holy-Bible---English---Twentieth-Century-NT	EXO-013-017		
Holy-Bible---English---Twentieth-Century-NT	MAR-010-045	Mark 10:45	for even the Son of Man came, not be served, but to serve, and to give his life as a ransom for many.”
Holy-Bible---English---Twentieth-Century-NT	ROM-001-001	Romans 1:1	To all in Rome who are dear to God and have been called to become Christ’s People, from Paul, a servant of Jesus Christ, who has been called to become an Apostle, and has been set apart to tell God’s Good News.
Holy-Bible---English---Twentieth-Century-NT	MAT-028-019	Matthew 28:19	Therefore go and make disciples of all the nations, baptizing them into the Faith of the Father, the Son, and the Holy Spirit,
Holy-Bible---English---Tyndale-Bible	JOH-003-016	John 3:16	For God so loveth the worlde yt he hath geven his only sonne that none that beleve in him shuld perisshe: but shuld have everlastinge lyfe.
Holy-Bible---English---Tyndale-Bible	GEN-003-024	Genesis 3:24	And he cast Ada out and sette at ye enteringe of the garden Eden Cherubin with a naked swerde movinge in and out to kepe the way to the tree of lyfe.
Holy-Bible---English---Tyndale-Bible	LUK-023-034	Luke 23:34	Then sayde Iesus: father forgeve them for they woot not what they do. And they parted his rayment and cast loottes.
Holy-Bible---English---Tyndale-Bible	REV-021-002	Revelation 21:2-3	And I Iho sawe that holy cite newe Ierusalem come doune from God oute of heven prepared as a bryde garnysshed for hyr husband. And I herde a grett voyce out of heaven sayinge: beholde the tabernacle of God is with men and he will dwell with the And they shalbe his people and God him sylffe shalbe with the and be their god.
Holy-Bible---English---Tyndale-Bible	HEB-011-008	Hebrews 11:8	By fayth Abraha whe he was called obeyed to goo out into a place which he shuld afterwarde receave to inheritaunce and he wet out not knowynge whether he shuld goo.
Holy-Bible---English---Tyndale-Bible	EXO-013-017		
Holy-Bible---English---Tyndale-Bible	MAR-010-045	Mark 10:45	For eve the sonne of man came not to be ministred vnto: but to minister and to geve his lyfe for the redempcion of many.
Holy-Bible---English---Tyndale-Bible	ROM-001-001	Romans 1:1	Paul the seruaut of Iesus Christ called to be an Apostle put a parte to preache the Gospell of God
Holy-Bible---English---Tyndale-Bible	MAT-028-019	Matthew 28:19	Go therfore and teache all nacions baptysinge them in the name of the father and the sonne and the holy goost:
Holy-Bible---English---Unlocked-Literal-Bible	JOH-003-016	John 3:16	For God so loved the world, that he gave his one and only Son, that whoever believes in him will not perish but have eternal life.
Holy-Bible---English---Unlocked-Literal-Bible	GEN-003-024	Genesis 3:24	So God drove the man out of the garden, and he placed cherubim at the east of the garden of Eden, and a flaming sword that turned every way, in order to guard the way to the tree of life.
Holy-Bible---English---Unlocked-Literal-Bible	LUK-023-034	Luke 23:34	Jesus said, “Father, forgive them, for they do not know what they are doing.” Then they cast lots, dividing up his garments.
Holy-Bible---English---Unlocked-Literal-Bible	REV-021-002	Revelation 21:2-3	I saw the holy city, new Jerusalem, that came down out of heaven from God, prepared like a bride adorned for her husband. I heard a great voice from the throne saying, “Look! The dwelling place of God is with human beings, and he will live with them. They will be his people, and God himself will be with them and he will be their God.
Holy-Bible---English---Unlocked-Literal-Bible	HEB-011-008	Hebrews 11:8	It was by faith that Abraham, when he was called, obeyed and went out to the place that he was to receive as an inheritance. He went out, not knowing where he was going.
Holy-Bible---English---Unlocked-Literal-Bible	EXO-013-017	Exodus 13:17	When Pharaoh let the people go, God did not lead them by way of the land of the Philistines, although that land was nearby. For God said, “Perhaps the people will change their minds when they experience war and will then return to Egypt.”
Holy-Bible---English---Unlocked-Literal-Bible	MAR-010-045	Mark 10:45	For the Son of Man did not come to be served, but to serve, and to give his life as a ransom for many.”
Holy-Bible---English---Unlocked-Literal-Bible	ROM-001-001	Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle and set apart for the gospel of God,
Holy-Bible---English---Unlocked-Literal-Bible	MAT-028-019	Matthew 28:19	Go therefore and make disciples of all the nations. Baptize them into the name of the Father, of the Son, and of the Holy Spirit.
Holy-Bible---English---Webster-Bible	JOH-003-016	John 3:16	For God so loved the world, that he gave his only-begotten Son, that whoever believeth in him, should not perish, but have everlasting life.
Holy-Bible---English---Webster-Bible	GEN-003-024	Genesis 3:24	So he drove out the man: and he placed at the east of the garden of Eden Cherubim, and a flaming sword which turned every way, to keep the way of the tree of life.
Holy-Bible---English---Webster-Bible	LUK-023-034	Luke 23:34	Then said Jesus, Father, forgive them: for they know not what they do. And they parted his raiment, and cast lots.
Holy-Bible---English---Webster-Bible	REV-021-002	Revelation 21:2-3	And I John saw the holy city, new Jerusalem, coming down from God out of heaven, prepared as a bride adorned for her husband. And I heard a great voice out of heaven, saying, Behold, the tabernacle of God [is] with men, and he will dwell with them, and they shall be his people, and God himself will be with them, [and be] their God.
Holy-Bible---English---Webster-Bible	HEB-011-008	Hebrews 11:8	By faith Abraham, when he was called to remove into a place which he should afterwards receive for an inheritance, obeyed; and he went out not knowing whither he was going.
Holy-Bible---English---Webster-Bible	EXO-013-017	Exodus 13:17	And it came to pass, when Pharaoh had let the people go, that God led them not [through] the way of the land of the Philistines, although that [was] near, for God said, Lest peradventure the people repent when they see war, and they return to Egypt.
Holy-Bible---English---Webster-Bible	MAR-010-045	Mark 10:45	For even the son of man came not to be ministered to, but to minister, and to give his life a ransom for many.
Holy-Bible---English---Webster-Bible	ROM-001-001	Romans 1:1	Paul, a servant of Jesus Christ, called [to be] an apostle, separated to the gospel of God,
Holy-Bible---English---Webster-Bible	MAT-028-019	Matthew 28:19	Go ye therefore and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Spirit.
Holy-Bible---English---Webster-Bible-Revised	JOH-003-016	John 3:16	For God so loved the world, that he gave his only begotten Son, that whoever believeth in him should not perish, but have everlasting life.
Holy-Bible---English---Webster-Bible-Revised	GEN-003-024	Genesis 3:24	So he drove out the man; and he placed at the east of the garden of Eden Cherubim, and a flaming sword which turned every way, to guard the way of the tree of life.
Holy-Bible---English---Webster-Bible-Revised	LUK-023-034	Luke 23:34	Then said Jesus, Father, forgive them; for they know not what they do. And they parted his raiment, and cast lots.
Holy-Bible---English---Webster-Bible-Revised	REV-021-002	Revelation 21:2-3	And I John saw the holy city, new Jerusalem, coming down from God out of heaven, prepared as a bride adorned for her husband. And I heard a great voice out of heaven saying, Behold, the tabernacle of God is with men, and he will dwell with them, and they shall be his people, and God himself shall be with them, and be their God.
Holy-Bible---English---Webster-Bible-Revised	HEB-011-008	Hebrews 11:8	By faith Abraham, when he was called to move into a place which he should later receive for an inheritance, obeyed; and he went out, not knowing where he was going.
Holy-Bible---English---Webster-Bible-Revised	EXO-013-017	Exodus 13:17	And it came to pass, when Pharaoh had let the people go, that God led them not through the way of the land of the Philistines, although that was near; for God said, Lest the people repent when they see war, and they return to Egypt:
Holy-Bible---English---Webster-Bible-Revised	MAR-010-045	Mark 10:45	For even the Son of man came not to be ministered to, but to minister, and to give his life a ransom for many.
Holy-Bible---English---Webster-Bible-Revised	ROM-001-001	Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, separated to the gospel of God,
Holy-Bible---English---Webster-Bible-Revised	MAT-028-019	Matthew 28:19	Go ye therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Spirit:
Holy-Bible---English---Weymouth-NT	JOH-003-016	John 3:16	For so greatly did God love the world that He gave His only Son, that every one who trusts in Him may not perish but may have the Life of Ages.
Holy-Bible---English---Weymouth-NT	GEN-003-024		
Holy-Bible---English---Weymouth-NT	LUK-023-034	Luke 23:34	Jesus prayed, "Father, forgive them, for they know not what they are doing." And they divided His garments among them, drawing lots for them;
Holy-Bible---English---Weymouth-NT	REV-021-002	Revelation 21:2-3	And I saw the holy city, the new Jerusalem, coming down out of Heaven from God and made ready like a bride attired to meet her husband. And I heard a loud voice, which came from the throne, say, "God's dwelling place is among men and He will dwell among them and they shall be His peoples. Yes, God Himself will be among them.
Holy-Bible---English---Weymouth-NT	HEB-011-008	Hebrews 11:8	Through faith Abraham, upon being called to leave home and go into a land which he was soon to receive for an inheritance, obeyed; and he went out, not knowing where he was going to.
Holy-Bible---English---Weymouth-NT	EXO-013-017		
Holy-Bible---English---Weymouth-NT	MAR-010-045	Mark 10:45	For the Son of Man also did not come to be waited upon, but to wait on others, and to give His life as the redemption-price for a multitude of people."
Holy-Bible---English---Weymouth-NT	ROM-001-001	Romans 1:1	Paul, a bondservant of Jesus Christ, called to be an Apostle, set apart to proclaim God's Good News,
Holy-Bible---English---Weymouth-NT	MAT-028-019	Matthew 28:19	Go therefore and make disciples of all the nations; baptize them into the name of the Father, and of the Son, and of the Holy Spirit;
Holy-Bible---English---World-English-Bible	JOH-003-016	John 3:16	For God so loved the world, that he gave his only born Son, that whoever believes in him should not perish, but have eternal life.
Holy-Bible---English---World-English-Bible	GEN-003-024	Genesis 3:24	So he drove out the man; and he placed cherubim at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of life.
Holy-Bible---English---World-English-Bible	LUK-023-034	Luke 23:34	Jesus said, “Father, forgive them, for they don’t know what they are doing.” Dividing his garments among them, they cast lots.
Holy-Bible---English---World-English-Bible	REV-021-002	Revelation 21:2-3	I saw the holy city, New Jerusalem, coming down out of heaven from God, prepared like a bride adorned for her husband. I heard a loud voice out of heaven saying, “Behold, God’s dwelling is with people; and he will dwell with them, and they will be his people, and God himself will be with them as their God.
