# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 2820042     
# File Date: 02/20/2021 19:26:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS
#		Strong's number with extensions
#		G0001  - G5624,  Strongs numbers from original set made by Strong for Greek behind the KJV  
#		G3203  - G3302,  Not used for some reason
#		G5627  - G5799,  Greek morphology codes  (these numbers aren't used in this lexicon) 
#		G5800  - G5893,  Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
#		G6000  - G6090,  Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
#		G6100  - G9979,  Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
#		G6091  - G6099,  G9980 - G9999, Extra Greek for variants which are not included in NASB or Apostolic Bible  
#		G10000 - G19999, Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
#		G20000 - G20199, Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)
#	WORD
#		Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS
#		Transliteration
#	GLOSS
#		A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH
#		Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#		Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific).
#		Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative,
#			Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb.
#		Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
#		Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)
#	DEF
#		Definition, lexical entry.
#		The Brief lexicon uses Abbot-Smith or MiddleLiddel or Mounce's Teknia when entries are missing.
#		(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
#		(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
#		(MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) -  used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
STRONGS	WORD	TRANS	GLOSS	MORPH	DEF
G2191	ἔχιδνα	echidna	snake	G:N-F	-ης, ἡ [in OT (Aq.), Isa.59:5 *;] a viper: Act.28:3; metaph, γεννήματα ἐχιδνῶν, Mat.3:7 12:34 23:33, Luk.3:7. (AS)
G2192	ἔχω	echō	to have/be	G:V	[in LXX for אָצֵל (ἐχόμενος), יֵשׁ,בַּעַל, etc, 59 words in all;] (on the Aktionsart of the various tenses, see M, Pr, 110, 145, 150, 183), to have, as in cl, in various senses and constructions. I. Trans; 1) 1. to have, hold, hold fast, etc; (a) to hold, as, in the hand: Rev.5:8 14:6, al; ἐν τ. χειρί, Rev.1:16 10:2, al; (b) of arms and clothing, = φέρω, φορέω, to bear, wear: Mat.3:4 22:12, al; so freq. pres. ptcp. (LS, see word, A, I, 6; Bl, 74, 2), Mrk.11:13, Jhn.18:10, Rev.9:17, al; (with) of a woman, ἐν γαστρὶ ἔ, to be with child: Mrk.13:17, Rom.9:10; (d) to hold fast, keep: Luk.19:20; metaph, of the mind and conduct, Mrk.16:8 (cf. Job.21:6, Isa.13:8; Deiss, BS, 293; Field, Notes, 44f.), Jhn.14:21, Rom.1:28, 1Ti.3:9, 2Ti.1:13, Rev.6:9, al; (e) to involve: Heb.10:35 (LXX), Jas.1:4, 1Jn.4:18; (f) = Lat. habere (Bl, §34, 5; 73, 5), to hold, consider: with accusative and predic. ptcp, Luk.14:18; with accusative, before ὡς, Mat.14:5; εἰς (Hebraism), Mat.21:46; on (Bl, §70, 2), Mrk.11:32. 2) to have, possess; (a) in general, with accusative of thing(s): Mat.19:22, Mrk.10:22, Luk.12:19, Jhn.10:16, 1Co.11:22, al; of wealth or poverty, absol, ἔχειν (neg. οὐκ, μή), Mat.13:12 25:29, 2Co.8:12; ἐκ τ. ἔχειν, according to your means, 2Co.8:11; (b) of relationship, association, and: πατέρα, Jhn.8:41; γυναῖκα (MM, xiv), 1Co.7:2; φίλον, Luk.11:5; βασιλέα, Jhn.19:15; ποιμένα, Mat.9:36; with dupl. accusative, Mat.3:9, al; (with) of parts or members: ὦτα, Mat.19:15; μέλη, Rom.12:4; θεμελίους, (d) with accusative, as periphrasis of verb: μνεῖαν ἔ. (= μεμνῆσθαι), 1Th.3:6; ἀγάπην, Jhn.13:35; γνῶσιν, 1Co.8:1; πεποίθησιν, 2Co.3:4; θλίψιν, Jhn.16:33, etc. (Thayer, see word, I, 2, f, g.); (e) of duty, necessity, etc: ἀνάγκην, 1Co.7:37; νόμον, Jhn.19:7; ἐπιταγήν, 1Co.7:25; ἀγῶνα, Php.1:30; κρίμα, 1Ti.5:12; (f) of complaints and disputes; κατά, with genitive of person(s), Mat.5:23, Mrk.11:25; id. before ὅτι, Rev.2:4, 20; with accusative before πρός, Act.24:19, al; (g) with inf, (α) (cl.) to be able (Field, Notes, 14): Mat.18:25, Mrk.14:8 (sc. ποιῆσαι), Luk.12:4, Act.4:14, al; (β) of necessity (BL, §69, 4): Luk.12:50, Act.23:17-19 28:19. II. Intrans. (BL, §53, 1), to be in a certain condition: ἑτοίμως ἔ, with inf, Act.21:13, 2Co.12:14; ἐσχάτως (which see), Mrk.5:23; κακῶς, to be ill, Mat.4:24, al; καλῶς, Mk 16:[18]; κομψότερον, Jhn.4:52; πῶς, Act.15:36; impers, ἄλλως εἴχει, it is otherwise, 1Ti.5:25; οὕτως, Act.7:1, al; τὸ νῦν ἔχον, as things now are (Tob.7:11), Act.24:25. III. Mid, -ομαι, to hold oneself fast, hold on or cling to, be next to: with genitive, τ. ἐχόμενα σωτηρίας, Heb.6:9 (Rendall, in l.); ptcp, ὁ ἐχόμενος, near, next: of place, Mrk.1:38; of time, τ. ἐχομένη (ἡμέρα, expressed or understood), Luk.13:33, Act.20:15 21:26; (σαββάτῳ), Act.13:44. (Cf. ἀν, προσ-αν, ἀντ, ἀπ, ἐν, ἐπ, κατ, μετ, παρ, περι, προ, προσ, συν, ὑπερ, ὑπ-έχω.) (AS)
G2193	ἕως	heōs	until	G:Prep	relative particle (Lat. donee, usque), expressing the terminus ad quem (cf. Burton, §321ff.). I. As conjunction; 1) till, until; (a) of a fact in past time, with indic: Mat.2:9, al. (Wis.10:14, al.); (b) ἕως ἄν, with subjc. aor: Mat.2:13 5:18, Mrk.6:10, al; without ἄν (M. Pr, 168f; Lft, Notes, 115), Mrk.14:32 (Burton, §325), Luk.12:59, 2Th.2:7, al; (with) with indic, pres. (Burton, §328; BL, §65, 10): Mrk.6:45, Jhn.21:22, 23 1Ti.4:13. 2) C. indic, as long as, while (Burton, §327): Jhn.9:4 (Plat, Phaedo, 89c). II. As an adverb (chiefly in late writers). 1) Of time, until, unto; (a) as prep. with genitive (BL, §40, 6; M, Pr, 99): τ. ἡμέρας, Mat.26:29, Luk.1:80, Rom.11:8, al; ὥρας, Mat.27:45, al; τέλους, 1Co.1:8, 2Co.1:13; τ. νῦν, Mat.24:21, Mrk.13:19 (1Ma.2:33); ἐτῶν ὀγ. (Field, Notes, 49f.), Luk.2:37; τ. ἐλθεῖν, Act.8:40; before names and events, Mat.1:17 2:15, Luk.11:51, Jas.5:7, al; (b) before οὗ, ὅτου, with the force of a conjc. (Burton, §330; M, Pr, 91); (α) ἕ. οὗ (Hdt, ii, 143; Plut, al.): with indic, Mat.1:25 (WH br, οὗ) 13:33, al; with subjc. aor, Mat.14:22, al; (β) ἔ. ὅτου: with subjc, Luk.13:8; with indic, Mat.5:25 (until), Jhn.9:18; (with) with adv. (ἔ. ὀψέ, Thuc, iii, 108): ἄρτι, Mat.11:12, Jhn.2:10, 1Co.4:13, al; πότε (M, Pr, 107), Mat.17:17, Mrk.9:19, Jhn.10:24, al. 2) Of place, as far as, even to, unto (Arist, al.); (a) as prep. with genitive (see supr.): Mt 1123, Lk 1015, al; (b) with adv. (BL, §40, 6): ἄνω, Jhn.2:7; ἔσω, Mrk.14:54; κάτω, Mat.27:51, Mrk.15:38; ὧδε, Luk.23:5; (with) with prep: ἔξω, Act.21:5; πρός, Luk.24:50 (Field, Notes, 83). 3) Of quantity, measure, etc: Mat.18:21, Mrk.6:23, Luk.22:51, al. (AS)
G2194	Ζαβουλών	Zaboulōn	Zebulun	N:N--L	ὁ indecl. (Heb. זְבוּלוּן see Gen.30:20) Zebulun, Jacob's tenth son: the tribe of Z, Mat.4:13, 15, Rev.7:8. (AS)
G2195	Ζακχαῖος	Zakchaios	Zacchaeus	N:N-M-P	-ου, ὁ (Heb. זַכַּי, cf. Neh.7:14, I Est.2:9, LXX Ζακχού), Zaccai, Zacchaeus, a publican: Luk.19:2, 5 19:8 (cf. 2Ma.10:19). (AS)
G2196	Ζαρά	Zara	Zerah	N:N-M-P	ὁ indecl. (Heb. זֶרַח, Gen.38:30), Zerah, an ancestor of Jesus: Mat.1:3. (AS)
G2197	Ζαχαρίας	Zacharias	Zechariah	N:N-M-P	-ου, ὁ (Heb. זַכַּי); 1) Zacharias, father of John the Baptist: Luk.1:5, 12-13 1:18, 21 1:40, 59 1:67 3:2. 2) Zechariah, the son of Jehoiada (in txt. wrongly called son of Barachiah; cf. 2Ch.24:19 ff.): Mat.23:35, Luk.11:51. (AS)
G2198	ζάω	zaō	to live	G:V	-ῶ, [in LXX chiefly for חיה (most freq. ptcp, ζῶν, inf, ζῆν, for חַי;] 1) prop, to live, be alive (see Syn, see word βίος; in cl. usually of animal life, but sometimes of plants, as Arist, Eth. N, i, 7, 12): Act.20:12, Rom.7:1-3, 1Co.7:39, Rev.19:20, al; ἐν αὐτῷ ζῶμεν, Act.17:28; ἐμοὶ τὸ ζῆν Χριστός, Php.1:21; διὰ παντὸς τοῦ ζῆν (M, Pr, 215, 249), Heb.2:15; ὃ δὲ νῦν ζῶ ἐν σαρκί, Gal.2:20; ζῇ ἐν ἐμοὶ Χριστός, Gal.2:20; (ὁ) ζῶν, of God (אֵל חַי and cognate phrases, Jos.3:10, Hos.2:1 (1:10), Isa.37:4, al; see DCG, ii, 39a), Mat.16:16, Jhn.6:57, Rom.9:26, 1Th.1:9, Heb.3:12, Rev.7:2, al; in juristic phrase, ζῶ ἐγώ (חַי־אָנִי, Num.14:21, al.), as I live, Rom.14:11; ζῆν ἐπ᾽ ἄρτῳ, Mat.4:4, al; ἐκ, 1Co.9:14; of coming to life, Mrk.16:[11], Rom.6:10 14:9, 2Co.13:4; opp. to νεκρός, Rev.1:18 2:8; metaph, Luk.15:32; ζῆν ἐκ νεκρῶν, Rom.6:13; of the spiritual life of Christians, Luk.10:28, Jhn.5:25, Rom.1:17 8:13; εἰς τ. αἰῶνα, Jhn.6:51, 58; σὺν Χριστῷ, 1Th.5:10; ὄνομα ἔχεις ὅτι ζῇς, Rev.3:1. 2) As sometimes in cl, = βιόω, to live, pass one's life: Luk.2:36, Act.26:5, Rom.7:9, Col.2:20; ἐν πίστει, Gal.2:20; ἐν τ. ἁμαρτίᾳ, Rom.6:2; εὐσεβῶς, 2Ti.3:12; ἀσώτως, Luk.15:13; with dative (cl.), ἑαυτῳ (Field, Notes, 164), Rom.14:7, 2Co.5:15; τ. δικαιοσύνῃ, Luk.20:38, Rom.6:10, 11 Gal.2:19; τ. Χριστῷ, 2Co.5:15; τ. θεῷ, 1Pe.2:24; πνεύματι, Gal.5:25; κατὰ σάρκα, Rom.8:12, 13; 3) Of inanimate things, metaph: ὕδωρ ζῶν (i.e. springing water, as opp. to still water), in a spiritual sense, Jhn.4:10, 11 7:38 (DCG, ii, 39f.): ἐλπὶς ζῶσα, 1Pe.1:3; ὁδὸς ζῶσα, Heb.10:20 (cf. ἀνα, συν-ζάω; Cremer, 270, 721). (AS)
G2199	Ζεβεδαῖος	Zebedaios	Zebedee	N:N-M-P	-ου, ὁ (Heb. זְבַדְיָה; LXX: Ζαβδειά, Est.8:8 10:20; Ζαβαδαῖας, I Est.9:35; Ζαβαδαῖος, I Est.9:21) Zebedee, father of James and John the Apostles: Mat.4:21 10:2 20:20 26:37 27:56, Mrk.1:19-20 3:17 10:35, Luk.5:10, Jhn.21:2. (AS)
G2200	ζεστός	zestos	hot	G:A	-ή, -όν (ζέω) [in Aq: Lev.6:21; in Al: Lev.7:12 *;] boiling hot (Strab, al.): metaph, Rev.3:15-16. (AS)
G2201	ζεῦγος	zeugos	a yoke/pair	G:N-N	-εος (-ους), τό (&lt; ζεύγνυμι, to yoke), [in LXX chiefly for צֶמֶד, Jdg.19:3, al;] 1) a yoke of beasts: Luk.14:19. 2) a pair of any­thing, Luk.2:24 (LXX). (AS)
G2202	ζευκτηρία	zeuktēria	rope	G:N-F	ζευκτήριος, -α -ον (&lt; ζεύγνυμι), fit for joining. As subst, (a) ζευκτήριον, τό = ζυγόν, a yoke; (b) ζευκτηρία, -ας, ἡ = ζεύγλη, the crossbar of a double rudder: Act.27:40 (found nowhere else). (AS)
G2203	Ζεύς, Δίς	Zeus, Dis	Zeus	N:N--T	Ζεύς genitive, Διός, dative, Διΐ, accusative, Δία (Δίαν, D, al.), Zeus (Lat. Jupiter): Act.14:12-13. (AS)
G2204	ζέω	zeō	be fervent	G:V	[in LXX for רוּם, רָתַח, metaph, 4Ma.18:20;] to boil, be hot; metaph, of anger, love, zeal: ptcp, fervent: τ. πνεύματι, Act.18:25, Rom.12:11. (AS)
G2205	ζῆλος	zēlos	zeal	G:N-L	-ου, ὁ and in late Gk, also -εος, τό (2Co.9:2, Php.3:6), [in LXX for קִנְאָה, Num.25:11, al;] 1) zeal: 2Co.7:11 9:2; κατά ζῆλος, Php.3:6; with genitive obj, Jhn.2:17 (LXX), Rom.10:2; before ὑπέρ, 2Co.7:7; with genitive subj, θεοῦ, 2Co.11:2; πυρός, Heb.10:27 (cf. Isa.26:11, Wis.5:18, and cf. Westc, in l). 2) jealousy: Rom.13:13, 1Co.3:3 3:2 2Co.12:20, Gal.5:20 (WH, txt, RV), Jas.3:14, 16; πλησθῆναι ζήλου Act.5:17 13:45; pl, ζῆλοι (see B1, § 32, 6), Gal.5:20, WH, mg. (AS)
G2206	ζηλόω	zēloō	be eager	G:V	-ῶ [in LXX chiefly for קָנָא pi;] 1) to burn with envy or jealousy, to be jealousy: absol, Act.7:9 17:5, 1Co.13:4, Jas.4:2 (R, mg, cf. Mayor, in l). 2) to seek or desire eagerly: with accusative of thing(s), 1Co.12:31 14:1 14:39 (cf. Sir.50:18, Wis.1:12); with accusative of person(s), 2Co.11:2, Gal.4:17; pass, Gal.4:18. (AS)
G2207	ζηλωτής	zēlōtēs	zealot	N:N-M-T	-οῦ, ὁ (&lt; ζηλόω), [in LXX for קַנָּא (θεὸς ζ.), Exo.20:5 34:14, Deu.4:24 5:9 6:15; קַנּוֹא, Nam.1:2 (θεός); pl, I Est.8:72; ζ. τῶν νόμων, 2Ma.4:2; τὸν ζ. Φινεές, 4Ma.18:12 (cf. Num.25:11)*;] 1) in cl. an emulator, zealous admirer (Plat, al.). 2) eagerly desirous, zealous; (a) absol, as in OT, ll. with; (b) with genitive obj: (zealous to acquire or to defend), 1Co.14:12, Tit.2:14, 1Pe.3:13; τ. νόμου (2Mac, l.with), Act.21:20; παραδόσεων, Gal.1:14; with genitive of person(s), θεοῦ, Act.22:3. 3) In FlJ, NT, a Zealot, member of the Jewish party so called: as surname of the Apostle Simon, Luk.6:15, Act.1:13. (AS)
G2208	ζηλωτής	zēlōtēs	Zealot	N:N--T	In FlJ, NT, a Zealot, member of the Jewish party so called: as surname of the Apostle Simon, Luk.6:15, Act.1:13. (AS)
G2209	ζημία	zēmia	damage/loss	G:N-F	-ας, ἡ [in LXX for עָנַשׁ; עֹנֶשׁ ni. and cognate forms;] damage, loss: Act.27:10, 21 Php.3:8; opp. to κέρδος, Php.3:7. (AS)
G2210	ζημιόω	zēmioō	to lose	G:V	ζημόω, -ῶ (&lt; ζημία), [in LXX chiefly for עָנַשׁ;] to damage. Pass, to suffer loss, forfeit, lose: absol, 1Co.3:15; before ἐν, 2Co.7:9; with accusative of thing(s) (see B1, § 34, 6), τ. ψυχήν, Mat.16:26, Mrk.8:36; ἑαυτόν, Luk.9:25; τ. πάντα, Php.3:8. (AS)
G2211	Ζηνᾶς	Zēnas	Zenas	N:N-M-P	-ᾶ, accusative -ᾶν (contr. from Ζηνόδωρος), Zenas: Tit.3:13. (AS)
G2212	ζητέω	zēteō	to seek	G:V	-ῶ, [in LXX chiefly for בּקשׁ pi, also for דּרשׁ, etc;] 1) to seek, seek for: Mat.7:7, 8 Luk.11:9, 10; with accusative of person(s), Mrk.1:37, Luk.2:48, Jhn.6:24, al; id. before ἐν, Act.9:11; with accusative of thing(s), Mat.13:45, Luk.19:10; before ἐν, Luk.13:6, 7; ψυχήν, of plotting against one's life (Exo.4:19, al.), Mat.2:20, Rom.11:3 " (LXX). Metaph, to seek by thinking, search after, inquire into: Mrk.11:18, Luk.12:28, Jhn.16:19; τ. θεόν, Act.17:27. 2) to seek or strive after, desire: Mat.12:46, Mrk.12:12, Luk.9:9, Jhn.5:18, Rom.10:3, al; τ. θάνατον, Rev.9:6; τ. βασιλείαν τ. θεοῦ, Mat.6:33 (Dalman, Words, 121f.); τὰ ἄνω, Col.3:1; εἰρήνην, 1Pe.3:11 (LXX). 3) to require, demand: with accusative of thing(s), Mrk.8:12, Luk.11:29, 1Co.1:22, 2Co.13:3; before παρά, Mrk.8:11, al; ἵνα, 1Co.4:2 (cf. ἀνα, ἐκ, ἐπι, συν-ζητέω). (AS)
G2213	ζήτημα	zētēma	a question/dispute	G:N-N	-τος, τό (&lt; ζητέω), [in LXX: ζ. τίθεσθαι (דָּרַשׁ ni.), Eze.36:37 A *;] an inquiry, question: Act.15:2 18:15 23:29 25:19 26:3. (AS)
G2214	ζήτησις	zētēsis	controversy	G:N-F	-εως, ἡ (&lt; ζητέω). 1) a seeking, search. 2) a questioning, inquiry, debate: Act.15:2, 7, 2Ti.2:23, Tit.3:9; before περί, Jhn.3:26, Act.25:20, 1Ti.6:4. (AS)
G2215	ζιζάνιον	zizanion	weed	G:N-N	-ου, τό (in Talmud זוּנִין), zizanium (EV, tares), a kind of darnel, resembling wheat: Mat.13:25-40 (cf. DB, see word "Tares"). (AS)
G2216	Ζοροβάβελ	Zorobabel	Zerubbabel	N:N-M-P	(FlJ, Ζοροβάβηλος, -ου), ὁ indecl. (Heb. זְרֻבָּבֶל), Zerubbabel (1Ch.3:19, al.): Mat.1:12-13 Luk.3:27. (AS)
G2217	ζόφος	zophos	darkness	G:N-M	-ου, ὁ (akin to γνόφος, which see), [in Sm: Exo.10:22, Job.28:3, Psa.11:2 91:6, Isa.59:9 *;] in Hom, the gloom of the under-world; hence, darkness, deep gloom (poët. and late prose writers): Heb.12:18, 2Pe.2:4 2:17, Ju 6 13. ὁμίχλη, -ης, ἡ, [in LXX for עֲרָפֶל, etc;] a mist: 2Pe.2:17 (AS)
G2218	ζυγός	zugos	yoke/scales	G:N-M	(in cl. more freq. τὸ ζυγόν), -οῦ, ὁ (&lt; ζεύγνυμι), [in LXX for עֹל, מֹאזֵן, etc;] 1) a yoke; metaph, of bondage or submission to authority: Mat.11:29-30, Act.15:10, Gal.5:1, 1Ti.6:1. 2) a balance: Rev.6:5 (of. Isa.40:12, al.). (AS)
G2219	ζύμη	zumē	leaven	G:N-F	-ης, ἡ [in LXX for חָמֵץ, Exo.12:16 13:3 23:18 34:25, Deu.16:3; שְׂאֹר, Exo.12:16, 19 13:7, Lev.2:11, Deu.16:4 *;] leaven: Mat.13:33, Luk.13:21; τ. ἄρτου, Mat.16:12. Metaph, of a moral influence or tendency, always, exc. in the Parable of the Leaven (Mat.13:33, Luk.13:21), for evil: 1Co.5:6-8, Gal.5:9; ζ. τ. Φαρισαίων, Mat.16:6, 11, Mrk.8:16, Luk.12:1 (Cremer, 723). (AS)
G2220	ζυμόω	zumoō	to leaven	G:V	-ῶ (&lt; ζύμη), [in LXX for חָמֵץ, Exo.12:34, 39 Lev.6:17 23:17, Hos.7:4 *;] to leaven: Mat.13:33, Luk.13:21, 1Co.5:6, Gal.5:9. (AS)
G2221	ζωγρέω	zōgreō	to capture alive	G:V	-ῶ (&lt; ζωός, alive, + ἀγρεύω) [in LXX chiefly for חָיָה hi;] to catch alive, take captive: metaph, Luk.5:10; pass, 2Ti.2:26 (on the meaning and construction, see Ellic, CGT, in l). (AS)
G2222	ζωή	zōē	life	G:N-F	-ῆς, ἡ (ζάω), [in LXX chiefly for חַיִּים;] life (in Hom, Hdt, = βίος, which see; later, existence, vita quâ vivimus, as distinct from βίος, vita quam vivimus; opp. to θάνατος); 1) of natural life: Luk.16:25, Act.8:33, 1Co.15:19, 1Ti.4:8, Heb.7:3, Jas.4:14; πνεῦμα ζωῆς, Rev.11:11; ψυχὴ ζωῆς (Gen.1:30), Rev.16:3; of the life of one risen from the dead, Rom.5:10, Heb.7:16. 2) Of the life of the kingdom of God, the present life of grace and the life of glory which is to follow (Dalman, Words, 156ff; Westc, Epp. Jo, 214ff; Cremer, 272ff.): Jhn.6:51, 53 Rom.7:10 8:6, 10 Php.2:16, Col.3:4, 2Pe.1:3; αἰώνος (reff. supr; DCG, i, 538a, ii, 30f.), Jhn.4:36 12:50 17:3, 1Jn.1:2, al; τ. φῶς τῆς ζ, Jhn.8:12; ὁ Λόγος τ. ζ, 1Jn.1:1; ὁ ἄρτος τ. ζ, Jo 6:35, 48; δικαίωσις ζωῆς, Rom.5:18; μετάνοια εἰς ζ, Act.11:18; ἐν αὐτῷ ζ. ἦν, Jhn.1:4; ζ. ἡ ἐν. Χ. Ἰ, 2Ti.1:1; τὰ πρὸς ζωήν, 2Pe.1:3, al; στέφανος τῆς ζ, Jas.1:12, Rev.2:10; χάρις ζωῆς (genitive expl.), 1Pe.3:7; ζ. καὶ εἰρήνη, Rom.8:6; ζ. καὶ ἀφθαρσία, 2Ti.1:10; ἀνάστασις ζωῆς, Jhn.5:29; βίβλος ζωῆς, Php.4:3, Rev.3:5; ξύλον ζωῆς, Rev.2:7; ὕδωρ ζωῆς, Rev.22:17; meton, of that which has life: τ. πνεῦμα, Rom.8:10; ῥήματα, Jhn.6:63; of one who gives life, Jhn.11:25 14:6, 1Jn.1:2; ἡ ἐντολή, Jhn.12:50. (AS)
G2223	ζώνη	zōnē	belt/sash/girdle	G:N-F	-ης, ἡ (ζώννυμι) [in LXX for אַבְנֵט, חֲגוֹר, etc;] a belt, girdle: Mat.3:4, Mrk.1:6, Act.21:11, Rev.1:13 15:6; as a receptacle for money, Mat.10:9, Mrk.6:8. (AS)
G2224	ζώννυμι	zōnnumi	to dress	G:V	and ζωννύω [in LXX chiefly for חָגַר;] to gird: with accusative of person(s), Jhn.21:18. Mid, to gird oneself: Act.12:8 (cf. ἀνα, δια, περι, ὑπο-ζώννυμι). (AS)
G2225	ζωογονέω	zōogoneō	to give life	G:V	-ῶ (&lt; ζωός, alive, γένεσθαι), [in LXX Exo.1:17-18, 22, Jdg.8:19, 1Ki.2:6 27:9 27:11, 3Ki.20:31, 4Ki.7:4 (חָיָה pi, hi.), Lev.11:47 (חַי)*;] 1) in cl, to engender, produce alive, endue with life. 2) In LXX. and NT, to preserve alive (DCG, ii, 606; Cremer, 274): Luk.17:33, Act.7:19, 1Ti.6:13 (EV, quickeneth; R, mg, preserveth). (AS)
G2226	ζῷον	zōon	living thing	G:N-N	(Rec. ζῶον, see LS, see word), -ου, τό (&lt; ζωός, alive), [in LXX for חַי (chiefly) and cognate forms; freq. in Wis;] a living creature, an animal: Rev.4:6-9 5:6 ff. Rev.6:1 ff. Rev.7:11 14:3 15:7 19:4; ζῴων τ. αἷμα, Heb.13:11; ἄλογα ζ, 2Pe.2:12, Ju 10. (AS)
G2227	ζωοποιέω	zōopoieō	to make alive	G:V	ζωο-ποιέω, ῶ [in LXX for חָיָה pi, hi, Jdg.21:14, 4Ki.5:7, Neh.9:6, Job.36:6, Psa.70:20, Ecc.7:12 *;] 1) in cl. (= ζωογονέω), to produce alive. 2) In LXX and NT, to make alive, cause to live, quicken (DCG, ii, 606a; Cremer, 275): Jhn.5:21 6:53, Rom.4:17 8:11, 1Co.15:45, 2Co.3:6, Gal.3:21. Pass, 1Co.15:22 15:36, 1Pe.3:18. (AS)
G2228	ἤ	ē	or	G:Conj	disjunctive and comparative particle (Bl, §36, 12; 77, 11); 1) disjunctive, or; (a) between single words: Mat.5:17 Mrk.6:56, Luk.2:24, Jhn.6:19, Rom.1:21, al; (b) before a sentence expressing a variation, denial or refutation of a previous statement, freq. in interrog. form: Mat.7:4, 9 Mrk.12:14, Luk.13:4, Rom.3:29 6:3 9:21, 1Co.6:9, 16 9:6, 2Co.11:7; ἤ. ἤ, either. or, Mat.6:24, Luk.16:13, 1Co.14:6; (with) in a disjunctive question (as Lat. an after utrum): Mat.9:5, Mrk.2:9, Luk.7:19, al; after πότερον, Jhn.7:17; μή, 1Co.9:8; μήτι, 2Co.1:17; ἤ. ἤ. ἤ, Mrk.13:35. 2) Comparative, than: after comparatives, Mat.10:15, Luk.9:13, Jhn.3:19, Rom.13:11, al; after ἕτερον, Act.17:21; θέλω (Khüner 3, iv, 303), 1Co.14:19; πρὶν ἤ, before, before accusative and inf, Mat.1:18 Mrk.14:30; after a positive adj. (Gen.49:12; cf. Robertson, Gr, 661), Mat.18:8, 9 Mrk.9:43, 45 47. 3) with other particles: ἀλλ᾽ ἤ, see: ἀλλά; ἤ γάρ, see: γάρ; ἢ καί, or even, or also, Mat.7:10, Luk.11:11, 12 Rom.2:15 4:9, al; ἤτοι. ἤ, Rom.6:16 (cf. Wis.11:19). (AS)
