Strongs numbers in lexicon, but not in tagged texts, SEEMS LIKE TOO MANY!
===

G33	ἄγε	to lead	
G7157	ἐκτομίας	emasculated	
G7158	ἐκτρέχω	to run forth	
G7159	ἐκτριβή	obliteration	
G7160	ἐκτρίβω	to obliterate	
G7161	ἔκτριψις	obliteration	
G7162	ἐκτρυγάω	to gather in grapes	
G7163	ἐκτρώγω	to chew away	
G7164	ἐκτυπόω	to shape	
G7165	ἐκτύπωμα	an impression	
G7166	ἐκτύπωσις	an impression	
G7167	ἐκτυφλόω	to make blind	
G7168	ἐκφορά	a funeral	
G7169	ἐκφόριον	resource	
G7170	ἐκφύρω	to defile	
G7171	ἐκφυσάω	to blow away	
G7172	ἔκχυσις	an outpouring	
G7173	ἐλάϊνος	of olive	
G7174	ἐλαιολογέω	to pick olives	
G7175	ἔλασμα	a hammered piece	
G7176	ἐλασσόω	to lack	
G7177	ἐλάτη	fir tree	
G7178	ἐλάτινος	of fir	
G7179	ἐλατός	hammered out	
G7180	ἔλαφος	hind	
G7181	ἐλέφας	ivory	
G7182	ἑλικτός	kneaded	
G7183	ἕλιξ	a fetter	
G7184	ἔλλειμμα	remains	
G7185	ελμωνί	a concealed place	
G7186	ἕλος	a marsh	
G7187	ἐμβαθύνω	to deepen	
G7188	ἐμβρίμημα	threatening	
G7189	ἔμετος	vomit	
G7190	ἐμμολύνω	to contaminate	
G7191	ἔμμονος	permanent	
G7192	εμμωνείμ	such and such place	
G7193	ἔμπαιγμα	mockery	
G7194	ἐμπαραγίνομαι	to come upon	
G7195	ἐμπήγνυμι	to stick into	
G7196	ἐμπίμπρημι	to set on fire	
G7197	ἐμπιστεύω	to entrust	
G7198	ἐμπλατύνω	to widen	
G7199	ἐμπλόκιον	a wreath	
G7200	ἔμπνευσις	blasting	
G7201	ἐμποδίζω	to impede	
G7202	ἐμποδοστατέω	to impede	
G7203	ἐμποιέω	to cause	
G7204	ἐμπολάω	to do business	
G7205	ἐμπρόσθιος	in front	
G7206	ἔμπτυσμα	spit	
G7207	ἐμπυρίζω	to burn	
G7208	ἐμπυρισμός	a combustion	
G7209	ἔμπυρος	on a fire	
G7210	ἐμφαίνω	to appear	
G7211	ἐμφανῶς	visibly	
G7212	ἐμφραγμός	an obstruction	
G7213	ἐμφράσσω	to obstruct	
G7214	ἐνακούω	to listen to attentively	
G7215	ἐναλλάξ	crosswise	
G7216	ἐνάλλομαι	to assail	
G7217	ἐναντιόομαι	to withstand	
G7218	ἔνδεια	a lack	
G7219	ἐνδελεχισμός	in perpetuity	
G7220	ἐνδελεχῶς	continually	
G7221	ἔνδεσμος	bonding, bundles	
G7222	ἐνδέω	to bind in	
G7223	ἐνδιαβάλλω	to be adversary	
G7224	ἐνδιατρίβω	to spend one's time	
G7225	ἐνδίδωμι	to give forth	
G7226	ἐνδογενής	natural	
G7227	ἔνδοθεν	within	
G7228	ἔνδον	inside	
G7229	ἐνδόξως	gloriously	
G7230	ἐνδόσθια	entrails	
G7231	ἐνεῖδον	to see in	
G7232	ἐνείρω	to entwine	
G7233	ενενηκονταοκτώ	ninety-eight	
G7234	ἐνεργός	operative	
G7235	ἐνευφραίνομαι	be pleased with	
G7236	ἐνεχυράζω	to take for security	
G7237	ἐνεχύρασμα	collateral	
G7238	ἐνεχυρασμός	collateral	
G7239	ἐνέχυρον	a security	
G7240	ἒνθα καὶ ἔνθα	here and there	
G7241	ἔνθεμα	a garland	
G7242	ἐνθρονίζω	to enthrone	
G7243	ἐνθύμημα	a thought	
G7244	ἐνθύμιος	inner thought	
G7245	ἐνιαύσιος	of a year	
G7246	ἐννακόσιοι	nine hundred	
G7247	ἐννεακαίδεκα	nineteen	
G7248	ἐννεακαιδέκατος	nineteenth	
G7249	ἐννενήκοντα	ninety	
G7250	εννενηκονταδύο	ninety-two	
G7251	εννενηκονταέξ	ninety-six	
G7252	ενενηκονταπέντε	ninety-five	
G7253	ἐννοέω	to reflect on	
G7254	ἐννοσσεύω, ἐννεοσσεύω	to nest	
G7255	ἐνοικειόω	be related	
G7256	ἐνοπλίζω	to arm oneself	
G7257	ἔνοπλος	armed	
G7258	ἐνόρκιος	affirmation	
G7259	ἔνορκος	to bind by an oath	
G7260	ἐνσιτέομαι	to feed upon	
G7261	ἐνσκολιεύομαι	to catch in a snare	
G7262	ἐντάσσω	to arrange in	
G7263	ἐνταῦθα	here	
G7264	ἐνταφιαστής	an embalmer	
G7265	ἐντείνω	to stretch tight	
G7266	ἔντερον	innards	
G7267	ἐντήκω	to melt away	
G7268	ἐντίθημι	to insert	
G7269	ἐντιμάω	to value	
G7270	ἐντίμως	highly valued	
G7271	ἐντομίς	a cut	
G7272	ἔντριτος	three-stranded	
G7273	ἐντρύφημα	amusement	
G7274	ἐνυπνιαστής	a dreamer	
G7275	ἔνυστρον	large intestine	
G7276	ἐνώπιος	face to face	
G7277	ἕνωσις	uniting	
G7278	ἐνώτιον	a ring	
G7279	ἐξαγορεύω	to confess	
G7280	ἐξαγριαίνω	to rage furiously	
G7281	ἐξαιρετός	chosen out of	
G7282	ἐξαίσιος	extraordinary	
G7283	ἑξάκις	six times	
G7284	ἑξακισχίλιοι	six thousand	
G7285	ἐξακονάω	to make very sharp	
G7286	ἑξακοσιοστός	six hundredth	
G7287	ἐξακριβάζω	to determine	
G7288	ἐξάλειπτρον	an ointment jar	
G7289	ἐξάλειψις	a wiping out	
G7290	ἐξαλλάσσω	to change	
G7291	ἔξαλλος	special	
G7292	ἐξαμαρτάνω	to lead into sin	
G7293	ἑξάμηνος	six months	
G7294	ἐξαναλίσκω	to consume	
G7295	εξεναντίας	right opposite	
G7296	ἐξανθέω	to blossom	
G7297	ἐξαντλέω	to draw out	
G7298	ἐξαπίνης	sudden	
G7299	ἐξάπτω	to light up	
G7300	ἐξαριθμέω	to count out	
G7301	ἐξαρκέω	be enough	
G7302	ἔξαρσις	a departure	
G7303	ἐξαρτάω	be attached to	
G7304	ἐξάρχω	to originate	
G7305	ἐξατιμόομαι	to despise	
G7306	ἐξέδρα	an inner chamber	
G7307	ἐξεικονίζω	to completely form	
G7308	ἐξεκκλησιάζω	to assemble	
G7309	ἐξελαύνω	to launch an expedition	
G7310	ἐξελίσσω	to expand	
G7311	ἐξεμέω	to vomit forth	
G7312	ἐξεργάζομαι	to complete	
G7313	ἐξερεύγομαι	to discharge forth	
G7314	ἐξερεύνησις	a search	
G7315	ἐξερημόω	to make desolate	
G7316	ἐξέρπω	to creep forth	
G7317	ἐξετασμός	an inquisition	
G7318	ἐξεύρεσις	a finding out	
G7319	ἐξέχω	to protrude	
G7320	ἐξήγησις	description	
G7321	ἐξηγητής	an expositor	
G7322	ἐξηγορία	an utterance	
G7323	ἑξηκονταδύο	sixty-two	
G7324	εξηκονταέξ	sixty-six	
G7325	εξηκονταεπτά	sixty-seven	
G7326	ἑξηκονταετής	sixty years old	
G7327	εξηκονταοκτώ	sixty-eight	
G7328	εξηκονταπέντε	sixty-five	
G7329	ἐξηλιάζω	to hang in the sun	
G7330	ἐξίλασις	atonement	
G7331	ἐξιλάσκομαι	to appease	
G7332	ἐξίλασμα	an appeasement	
G7333	ἐξιλασμός	a making an atonement	
G7334	ἐξιππάζομαι	to ride forth	
G7335	ἐξίπταμαι	to flutter away	
G7336	ἐξισόω	to make equal	
G7337	ἐξιχνιάζω	to trace	
G7338	ἐξιχνιασμός	a tracking out	
G7339	ἐξοδία	a departure	
G7340	ἐξοδιάζω	to spend	
G7341	ἐξόδιος	a holiday recess	
G7342	ἐξοικοδομέω	to build up	
G7343	ἔξοικος	homeless	
G7344	ἐξοκέλλω	to lead aground	
G7345	ἐξόλλυμι	to totally ruin	
G7346	εξολόθρευσις	devastation	
G7347	ἐξομολόγησις	acknowledgment	
G7348	ἐξόπισθεν	following	
G7349	ἐξοπλίζω	to completely arm	
G7350	ἐξορμάω	to sally out	
G7351	ἐξουδένωμα	contempt	
G7352	ἐξουδένωσις	contempt	
G7353	ἐξουθένημα	a contemptible thing	
G7354	ἐξυβρίζω	to overflow	
G7355	ἔξωσμα	purgation	
G7356	ἐξωτέρω	outer	
G7357	ἐπαγωγή	an invasion	
G7358	ἐπάδω	to charm	
G7359	ἐπακρόασις	heeding	
G7360	ἔπαλξις	a parapet	
G7361	ἐπανακαινίζω	to renew	
G7362	ἐπαναστρέφω	to return	
G7363	ἐπανατρυγάω	to glean the vintage	
G7364	ἐπανήκω	to come back again	
G7365	ἐπανθέω	to bloom again	
G7366	ἐπάνωθεν	about	
G7367	ἐπαοιδή	enchantment	
G7368	ἐπαοιδός	an enchanter	
G7369	ἐπαποστέλλω	to send as successor	
G7370	ἔπαρμα	raised elevation	
G7371	ἔπαρσις	a raising	
G7372	ἐπαρυστήρ	a funnel	
G7373	ἐπαρυστρίς	an oil funnel	
G7374	ἔπαρχος	a chief ruler	
G7375	ἐπαφίημι	to let loose on	
G7376	ἔπειμι	be used	
G7377	ἔπειμι	coming	
G7378	ἐπεισφέρω	to bring in addition	
G7379	ἐπελπίζω	to raise hope	
G7380	ἐπερείδω	to lean upon	
G7381	ἐπερώτησις	questioning	
G7382	ἐπέτειος	yearly	
G7383	ἐπευκτός	longed for	
G7384	ἐπεύχομαι	to invoke	
G7385	ἐπήκοος	attentive	
G7386	ἐπήλυτος	a stranger	
G7387	ἐπίβασις	a step	
G7388	ἐπιβάτης	a crewman	
G7389	ἐπιβόλαιον	a covering	
G7390	ἐπιβουλεύω	to plot against	
G7391	ἐπίβουλος	a plotter	
G7392	ἐπιβρέχω	to rain upon	
G7393	ἐπιγαμία	related by marriage	
G7394	ἐπιγελάω	to laugh at	
G7395	ἐπιγεμίζω	to load upon	
G7396	ἐπιγνωμοσύνη	knowledge	
G7397	ἐπιγνώμων	an arbitrator	
G7398	ἐπίγνωστος	well known	
G7399	ἐπιγονή	a breed	
G7400	ἐπιδέκατος	a tithe	
G7401	ἐπιδέξιος	fitting	
G7402	ἐπιδέω	to fasten	
G7403	ἐπιδιπλόω	to double	
G7404	ἐπιδιώκω	to pursue after	
G7405	ἐπιεικεύομαι	be lenient	
G7406	ἐπιεικῶς	please	
G7407	ἐπιζάω	to outlive	
G7408	ἐπιζήμιος	a fine	
G7409	ἐπίθεμα	a lid	
G7410	ἐπιθύμημα	desire	
G7411	ἐπιθυμητός	desirable	
G7412	ἐπιθύω	to sacrifice upon	
G7413	ἐπικαταλαμβάνω	to overtake	
G7414	ἐπικαταράομαι	to accurse	
G7415	ἐπίκλητος	selected	
G7416	ἐπικλίνω	to incline	
G7417	ἐπικλύζω	to inundate	
G7418	ἐπικοιμάομαι	to rest upon	
G7419	ἐπικοσμέω	to embellish	
G7420	ἐπικραταιόω	to prevail against	
G7421	ἐπικρατέω	to prevail	
G7422	ἐπικρεμάννυμι	to hang upon	
G7423	ἐπικροτέω	to clap	
G7424	ἐπικρούω	to strike	
G7425	ἐπικυλίω	to roll upon	
G7426	ἐπιλάμπω	to shine forth	
G7427	ἐπίλεκτος	chosen	
G7428	ἐπιληπτεύομαι	be possessed	
G7429	ἐπίληπτος	convulsed	
G7430	ἐπιμίγνυμι	to intermix	
G7431	ἐπίμικτος	intermixed	
G7432	ἐπιμύλιος	an upper millstone	
G7433	ἐπινοέω	to think about	
G7434	ἐπινυστάζω	to slumber	
G7435	ἐπιξενόομαι	be welcomed as a guest	
G7436	ἐπίπεμπτος	a fifth part	
G7437	ἐπιπέμπω	to bring in addition	
G7438	ἐπιπολάζω	to float	
G7439	ἐπιρραντίζω	to sprinkle upon	
G7440	ἐπιρρέω	to overflow	
G7441	ἐπίσαγμα	a saddle	
G7442	ἐπισάττω	to saddle	
G7443	ἐπισείω	to stir up	
G7444	ἐπισημαίνω	to mark	
G7445	ἐπισκάζω	to limp	
G7446	ἐπισκεπάζω	to envelop	
G7447	ἐπισκευάζω	to repair	
G7448	ἐπίσκεψις	a review	
G7449	ἐπίσπαστρον	a draw curtain	
G7450	ἐπισπεύδω	to hurry	
G7451	ἐπισπλαγχνίζομαι	to show compassion	
G7452	ἐπισπουδάζω	to hasten	
G7453	ἐπισπουδαστής	a taskmaster	
G7454	ἐπιστήμη	higher knowledge	
G7455	ἐπιστήριγμα	a stay	
G7456	ἐπιστοιβάζω	to pile up	
G7457	ἐπιστρατεύω	to march against	
G7458	ἐπισυνίστημι	to rise up together against	
G7459	ἐπισυστρέφω	to gather together against	
G7460	ἐπισφραγίζω	to put a seal upon	
G7461	ἐπιτήδευμα	a practice	
G7462	ἐπιτηδεύω	to apply	
G7463	ἐπιτίμησις	reproach	
G7464	ἐπιτοαυτό	together	
G7465	ἐπιτρέχω	to run to	
G7466	ἐπιτρίβω	to crush	
G7467	ἐπίτριψις	wearing away	
G7468	ἐπιφημίζω	to portend	
G7469	ἐπιφυλλίζω	to glean	
G7470	ἐπιφυλλίς	a gleaning	
G7471	ἐπιχαίρω	to rejoice at	
G7472	ἐπιχαρής	gratifying	
G7473	ἐπίχαρμα	derision	
G7474	ἐπίχαρτος	incurring ridicule	
G7475	ἐπίχειρον	forearm	
G7476	ἐπίχυσις	a vessel	
G7477	ἐπιχώρησις	grant	
G7478	ἐπόζω	to stink	
G7479	ἐποίκιον	an estate	
G7480	ἐπονείδιστος	reviled	
G7481	ἔποψ	a hoopoe	
G7482	ἑπταετής	of seven years	
G7483	ἑπτακαίδεκα	seventeen	
G7484	ἑπτακαιδέκατος	seventeenth	
G7485	ἑπτακόσιοι	seven hundred	
G7486	ἑπτάμηνος	of seven months	
G7487	ἑπταπλάσιος	seven-fold	
G7488	ἑπταπλασίων	seven-fold	
G7489	ἑπταπλασίως	seven-fold	
G7490	ἐπωμίς	a shoulder-piece	
G7491	ἐπωρύω	to roar against	
G7492	ἐραστής	a lover	
G7493	ἐράω	to love passionately	
G7494	ἐργάβ	a chest	
G7495	ἐργαλεῖον	a work tool	
G7496	ἐργάσιμος	a deed	
G7497	ἐργοδιωκτέω	to direct works	
G7498	ἐργοδιώκτης	a foreman	
G7499	ἐρεθισμός	aggravation	
G7500	ἐρεθιστής	an irritant	
G7501	ἔρεισμα	a support	
G7502	ἐρεοῦς	woolen	
G7503	ἐρημικός	solitary	
G7504	ἐρημίτης	a recluse	
G7505	ἔριθος	wool worker	
G7506	ἐρικτός	ground up	
G7507	ἑρμηνευτής	a translator	
G7508	ἕρπω	to crawl	
G7509	ἐρύθημα	red dye	
G7510	ἐρυθροδανόω	to dye red	
G7511	ἐρυσίβη	blight	
G7512	ἐρῳδιός	a heron	
G7513	ἔρως	passion	
G7514	ἑσπερινός	during evening	
G7515	ἑστιατορία	feasting	
G7516	ἐσχάρα	a grate	
G7517	ἐσχαρίτης	broiled	
G7518	ἐσχατίζω	be late	
G7519	ἐσώτατος	innermost	
G7520	εσώτερον	inside	
G7521	ἐτάζω	to chastise	
G7522	ἑταίρα	a mistress	
G7523	ἑταιρία	friendship	
G7524	ἔτασις	chastisement	
G7525	ἐτασμός	chastisement	
G7526	ἑτερόζυγος	unequally yoked	
G7527	εὐαγγελία	good news	
G7528	εὐάλωτος	easily caught	
G7529	εὐάρμοστος	well-tuned	
G7531	εὐγένεια	magnanimity	
G7532	εὔγνωστος	well-known	
G7533	εὐδοκιμέω	be approved	
G7534	εὐεκτέω	to enjoy good health	
G7535	εὔελπις	confident	
G7536	εὔζωνος	well-equipped	
G7537	εὐήκοος	heedful	
G7538	εὔηχος	distinct	
G7539	εὐθαλέω	to thrive	
G7540	εὐθαλής	flourishing	
G7541	εὐθηνέω	to prosper	
G7542	εὐθηνία	prosperity	
G7543	εὐθής	right	
G7544	εὐιλατεύω	to propitiate	
G7545	εὐίλατος	propitious	
G7546	εὐκαταφρόνητος	despicable	
G7547	εὐκλεής	renowned	
G7548	εὐκληματέω	to have good vine branches	
G7549	εὔκολος	well-tempered	
G7550	εὔλαλος	well-spoken	
G7551	εὐμεγέθης	huge	
G7552	εὐμετάβολος	changeable	
G7553	εὐμήκης	tall	
G7554	εὔοδος	prosperous	
G7555	εὐόδως	prosperously	
G7556	εὐπαθέω	to enjoy pleasure	
G7557	εὐπάρυφος	elegantly	
G7558	εὐπρεπής	beautiful	
G7559	εὐπρόσωπος	good-looking	
G7560	εὑρετής	an inventor	
G7561	εὕρημα	unexpected gain	
G7562	εὔριζος	well-rooted	
G7563	εὖρος	breadth	
G7564	εὐρύς	broad	
G7565	εὐρωτιάω	be moldy	
G7566	εὔσκιος	well-shaded	
G7567	εὐσταθέω	be stable	
G7568	εὐστόχως	skillfully	
G7569	εὐστροφία	versatility	
G7570	εὐσυναλλάκτως	conciliatory	
G7571	εὐτάκτως	orderly	
G7572	εὐχερής	easily managed	
G7573	εὐχερῶς	easily	
G7574	εὐψύχως	confidently	
G7575	εὐώδης	sweet smelling	
G7576	εὐωδιάζω	be fragrant	
G7577	Ἐφαδανώ	a royal pavilion	
G7578	ἐφαμαρτάνω	to tempt	
G7579	ἐφάπτω	to attach to	
G7580	ἐφέλκω	to drag upon	
G7581	ἔφηλος	peeling skin	
G7582	ἑφθός	cooked	
G7583	ἐφοδεύω	to explore	
G7584	ἐφοδιάζω	to provide	
G7585	ἐφόδιος	supplies	
G7586	ἐφοράω	to inspect	
G7587	ἐφούδ	an ephod	
G7588	ἐχθραίνω	to hate	
G7589	ἐχθρεύω	be an enemy	
G7590	ἐχθρία	hatred	
G7591	ἐχῖνος	hedgehog	
G7592	ἐξουσιαστής	a potentate	
G7593	ἕψεμα	a stew	
G7594	ἕψω	to bake	
G7595	ἑωθινός	early morning	
G7596	ἑωσφόρος	morning star	
G7597	ζέα	spelt	
G7598	ζέμα	boiling	
G7599	ζεύγνυμι	harness	
G7600	ζηλοτυπία	jealousy	
G7601	ζήλωσις	jealousy	
G7602	ζηλωτός	zealous	
G7603	ζιβύνη	a pike	
G7604	ζίου	Zif	
G7605	ζυγόω	to join together	
G7606	ζῦθος	beer	
G7607	ζυμίτης	leavened	
G7608	ζυμωτός	leavened	
G7609	ζωγραφέω	to portray	
G7610	ζωγρεία	taking alive	
G7611	ζωμός	broth	
G7612	ζωοποίησις	restoring to life	
G7613	ζωόω	to enliven	
G7614	ζωπυρέω	to enliven	
G7615	ζῶσις	girding up	
G7616	ἡγεμονικός	governing	
G7617	ἥγημα	a leading	
G7618	ἡγητέον	be esteemed	
G7619	ἡδύνω	be delicious	
G7620	ἡδύς	agreeable	
G7621	ἥδυσμα	luscious	
G7622	ἡδυσμός	luscious	
G7623	ἡδύφωνος	sweet sounding	
G7624	ἥδω	light; (in weight)	
G7625	Ἠθάμ	continuance	
G7626	ἤλεκτρον	molten bronze	
G7627	ἡλιάζομαι	to expose to sun	
G7628	ἡμίεφθος	half-boiled	
G7629	ἡμίονος	the mule	
G7630	ἡμίσευμα	the half	
G7631	ἡμισεύω	to halve	
G7632	ἡνία	reins	
G7633	ἡνίοχος	a charioteer	
G7634	ἧπαρ	the liver	
G7635	ἠρεμάζω	be calm	
G7636	ἥρως	a hero	
G7637	ἡσυχῇ	tranquilly	
G7638	ἠχώ	an echo	
G7639	θάλλω	to flourish	
G7640	θαλπιώθ	an armory	
G7641	θανουρίμ	a furnace	
G7642	θαρσείς	tharsis	
G7643	θαυμαστόω	to cause wonder	
G7644	θαυμαστῶς	wonderfully	
G7645	θεέ	a vestibule	
G7646	θεεβουλαθώθ	rule	
G7647	θεηλάθ	a porch	
G7648	θεκέλ	thekel	
G7649	θελητής	a soothsayer	
G7650	θελητός	wanted	
G7651	θέμα	in place	
G7652	θεμελίωσις	groundwork	
G7653	θεννουρίμ	a furnace	
G7654	θεράπαινα	a female attendant	
G7655	θεραφείν	teraphim	
G7656	θηρευτής	a hunter	
G7657	θερινός	a harvest	
G7658	θέριστρον	a reaping hook	
G7659	θερμασία	heat	
G7660	θερμαστρίς	a tong	
G7661	θερμός	hot	
G7662	θέσις	designation	
G7663	θεσμός	a rule	
G7664	θεωρητός	something visible	
G7665	θηλυκός	female	
G7666	θηλυμανής	sex-crazed	
G7667	θημωνιά	a heap	
G7668	θήρ	a wild beast	
G7669	θήρευμα	a hunt	
G7670	θηριάλωτος	taken by wild beasts	
G7671	θηριόβρωτος	eaten by wild beasts	
G7672	θησαύρισμα	a treasury	
G7673	θησαυροφύλαξ	a treasurer	
G7674	θίασος	revelry	
G7675	θῖβις	a wicker basket	
G7676	θίς	a hill	
G7677	θλαδίας	crushed testicles	
G7678	θλάσμα	a fracture	
G7679	θλάω	to crush	
G7680	θλιμμός	affliction	
G7681	θνησιμαῖος	decaying flesh	
G7682	θολερός	clouded	
G7683	θράσος	boldness	
G7684	θρασυκάρδιος	bold-hearted	
G7685	θρασύνω	to embolden	
G7686	θρασύς	bold	
G7687	θραῦσις	a devastation	
G7688	θραῦσμα	outbreak	
G7689	θραυσμός	a breaking	
G7690	θρεπτός	brought up	
G7691	θρήνημα	wailing	
G7692	θρυλλέω	to chatter	
G7693	θρύλλημα	a common topic	
G7694	θυία	a hand-mill	
G7695	θυΐσκη	an incense pan	
G7696	θύλακος	a purse	
G7697	θῦμα	an offering	
G7698	θυμώδης	inclined to rage	
G7699	θύρωμα	a doorway	
G7700	θυσιάζω	to sacrifice	
G7701	θυσίασμα	a sacrifice	
G7702	θωδαθά	thanksgiving	
G7703	ιαμίν	mules	
G7704	ἰατής	a healer	
G7705	ἰατρεία	healing	
G7706	ἰατρεῖον	a physician's fee	
G7707	ἰατρεύω	to treat; medically	
G7708	ἶβις	an ibis	
G7709	ἰγνύα	ham	
G7710	ἰδιοποιέω	to adopt	
G7711	ἱδρύω	to secure	
G7712	ἱέραξ	a hawk	
G7713	ἱκανῶς	fittingly	
G7714	ἱκετεύω	to entreat	
G7715	ἱκέτης	a supplicant	
G7716	ἴκτερος	jaundice	
G7717	ἰκτίν	a kite	
G7718	ἱλαρύνω	to make happy	
G7719	ἱλαρῶς	happily	
G7720	ἰλύς	slime	
G7721	ἱματιοφύλαξ	keeper of cloaks	
G7722	ἴνδαλμα	an effigy	
G7723	ἰξευτής	a fowler	
G7724	Ιοὐδαϊστί	in Hebrew	
G7725	ἱππάζομαι	to ride a horse	
G7726	ἱππάρχης	cavalry commander	
G7727	ἱππασία	riding	
G7728	ἱππεύω	to ride horseback	
G7729	ἱπποδρόμος	course of horses	
G7730	ἰσόω	to make equal	
G7731	ἱστάνω	to establish	
G7732	ἱστίον	a shroud	
G7733	ἱστός	a mast	
G7734	ἰσχίον	a hip	
G7735	ἰσχνόφωνος	weak voiced	
G7736	ἰσχυρόω	to strengthen	
G7737	ἰσχυρῶς	strongly	
G7738	ἰταμία	audacity	
G7739	ἰταμός	audacious	
G7740	ἰτέα	willow	
G7741	ἰχθυηρός	of fish	
G7742	ἰχθυϊκός	fishing	
G7743	ἰχνεύω	to prowl	
G7744	ἰχώρ	pus	
G7745	Ἰωβήλ	a ram	
G7746	κάβος	a cab measure	
G7747	καδημείν	stream of antiquity	
G7748	καδησίμ	male prostitutes	
G7749	κάδιον	a canteen	
G7750	κάδος	a pail	
G7751	καθαγιάζω	to consecrate	
G7752	καθαρεύω	be clean	
G7753	καθαριότης	cleanliness	
G7754	κάθαρσις	a cleansing	
G7755	κάθεμα	a necklace	
G7756	καθηλόω	to nail up	
G7757	κάθιδρος	sweating	
G7758	καθιζάνω	to sit down	
G7759	κάθισις	sitting	
G7760	καθοδηγέω	to direct	
G7761	κάθοδος	a return	
G7762	καθομολογέω	to promise	
G7763	καθόρμιον	a hanging necklace	
G7764	καθυβρίζω	to insult	
G7765	καθυμνέω	to sing praise	
G7766	καθυπνόω	to sleep	
G7767	καθυστερέω	be late	
G7768	καθυφαίνω	to interweave	
G7769	καινίζω	to revive	
G7770	καίριος	timely	
G7771	κακοποίησις	an evil deed	
G7772	κακουργία	evil actions	
G7773	κακοφροσύνη	evil thinking	
G7774	κακόφρων	evil-minded	
G7775	καλαβώτης	a newt	
G7776	κάλαθος	a reed basket	
G7777	καλαμάομαι	to glean	
G7778	καλάμινος	of reed	
G7779	καλαμίσκος	a branch	
G7780	καλλιόω	to beautify	
G7781	καλλονή	beauty	
G7782	κάλλος	beauty	
G7783	κάλλυνθρον	a palm branch	
G7784	καλλωπίζω	to bedeck	
G7785	κάλος	rope	
G7786	καλυπτήρ	a lid	
G7787	καλῴδιον	rope	
G7788	καμάρα	a vault	
G7789	καμηλοπάρδαλις	giraffe	
G7790	καμιναῖος	of a furnace	
G7791	κάμπη	a curve	
G7792	καμπύλος	curved	
G7793	κάνθαρος	beetle	
G7794	κανοῦν	a bin	
G7795	κάπηλος	a peddler	
G7796	καπνίζω	to smoke	
G7797	κάππαρις	caper	
G7798	καρδιόω	to take heart	
G7799	καρόω	to stupefy	
G7800	καρπάσινος	of cotton	
G7801	καρπίζω	to gather fruit	
G7802	κάρπιμος	fruitful	
G7803	καρπόβρωτος	fruit-bearing	
G7804	καρπός	wrist	
G7805	καρπόω	to yield	
G7806	κάρπωμα	a yield	
G7807	κάρπωσις	a yield	
G7808	καρπωτός	with long sleeves	
G7809	κάρταλλος	a narrow basket	
G7810	καρτερόω	to strengthen	
G7811	καρύα	a walnut	
G7812	καρύϊνος	of walnut	
G7813	καρυΐσκος	nut-like	
G7814	κάρυον	a walnut	
G7815	καρυωτά	a knob	
G7816	κασσία	cassia	
G7817	κασσιτέρινος	of tin	
G7818	κασσίτερος	tin	
G7819	κατα πόδας	by tracks	
G7820	καταβιάζω	to constrain	
G7821	καταβιόω	to spend one's life	
G7822	καταβλέπω	to look down	
G7823	καταβοάω	to yell out against	
G7824	καταβόσκω	to graze upon	
G7825	κατάβρωμα	a thing devoured	
G7826	κατάβρωσις	a thing devoured	
G7827	καταβρώσκω	to devour	
G7828	κατάγαιος	on the ground	
G7829	κατάγελως	laughter	
G7830	καταγηράσκω	to age	
G7831	καταγίνομαι	to occupy	
G7832	καταδείκνυμι	to introduce	
G7833	καταδέομαι	to beseech	
G7834	κατάδεσμος	a bandage	
G7835	καταδέχομαι	to appreciate	
G7836	καταδιαιρέω	to divide	
G7837	καταδολεσχέω	to converse with	
G7838	καταδυναστεία	tyranny	
G7839	κατάδυσις	a retreat	
G7840	καταδύω	to descend into	
G7841	καταθαρσέω	to rely upon	
G7842	καταθλάω	to break in pieces	
G7843	καταθύμιος	wishes	
G7844	καταιγίς	a blast	
G7845	κατακάλυμμα	an overcovering	
G7846	κατακάμπτω	to bend down	
G7847	κατάκαρπος	fruitful	
G7848	κατακάρπως	fruitfully	
G7849	κατακάρπωσις	incinerated remains	
G7850	κατάκαυμα	a burning	
G7851	κατακενόω	to empty	
G7852	κατακεντέω	to pierce through	
G7853	κατακληρονομέω	to allot	
G7854	κατακληρόω	to choose by lot	
G7855	κατάκλιτον	a divan	
G7856	κατακονδυλίζω	to strike with a fist	
G7857	κατακοντίζω	to run through	
G7858	κατάκοπος	exhausted	
G7859	κατακοσμέω	to adorn	
G7860	κατακρατέω	to hold firmly	
G7861	κατακρύπτω	to hide	
G7862	κατακτάομαι	to acquire	
G7863	κατακυκλόω	to encircle	
G7864	κατακυλίνδω	to roll downward	
G7865	κατάλειψις	a remnant	
G7866	καταλέω	to grind down	
G7867	κατάληψις	a taking	
G7868	καταλιθοβολέω	to cast a stone at	
G7869	κατάλιθος	inlaid with precious stone	
G7870	καταλιμπάνω	to leave behind	
G7871	καταλογίζομαι	to reckon	
G7872	καταλοχία	classification	
G7873	καταλοχισμός	distribution	
G7874	κατάλυσις	a resting-place	
G7875	καταμερίζω	to divide among	
G7876	καταμετρέω	to measure out	
G7877	καταμίγνυμι	to mix with	
G7878	καταμωκάομαι	to deride	
G7879	κατανέμω	to feed on	
G7880	κατανίσταμαι	to stand against	
G7881	κατάντημα	an arrival	
G7882	καταξαίνω	to rend in shreds	
G7883	καταξηραίνω	to totally dry up	
G7884	κατάξηρος	dried up	
G7885	καταπαίζω	to mock	
