# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 1452460     
# File Date: 02/20/2021 19:25:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS
#		Strong's number
#	WORD
#		Hebrew word
#	TRANS
#		Transliterated word
#	PRONOUNCE
#		Pronunciation
#	LANG
#		Language
#	MORPH
#		Part of speech
#	DEF
#		Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
H1774	דִּי זָהָב	Dîy zâhâb	dee zaw-hawb'	x-pn	Proper Name Location	as if from דִּי and זָהָב; of gold; Dizahab, a place in the Desert; Dizahab.
H1775	דִּימוֹן	Dîymôwn	dee-mone'	x-pn	Proper Name Location	perhaps for דִּיבוֹן; Dimon, a place in Palestine; Dimon.
H1776	דִּימוֹנָה	Dîymôwnâh	dee-mo-naw'	x-pn	Proper Name Location	feminine of דִּימוֹן; Dimonah, a place in Palestine; Dimonah.
H1777	דִּין	dîyn	deen	heb	Verb	or (Genesis 6:3) דּוּן; a primitive root; a straight course, i.e. sail direct; (come) with a straight course.
H1778	דִּין	dîyn	deen	arc	Verb	(Aramaic) corresponding to דִּין; to judge; judge.
H1779	דִּין	dîyn	deen	heb	Noun Masculine	or (Job 19:29) דּוּן; from דִּין; judgement (the suit, justice, sentence or tribunal); by implication also strife; cause, judgement, plea, strife.
H1780	דִּין	dîyn	deen	arc	Noun Masculine	(Aramaic) corresponding to דִּין; {judgement (the suit, justice, sentence or tribunal); by implication also strife}; judgement.
H1781	דַּיָּן	dayân	dah-yawn'	heb	Noun Masculine	from דִּין; a judge or advocate; judge.
H1782	דַּיָּן	dayân	dah-yawn'	arc	Noun Masculine	(Aramaic) corresponding to דַּיָּן; {a judge or advocate}; judge.
H1783	דִּינָה	Dîynâh	dee-naw'	x-pn	Proper Name Feminine	feminine of דִּין; justice; Dinah, the daughter of Jacob; Dinah.
H1784	דִּינַי	Dîynay	dee-nah'-ee	x-pn	Proper Name Masculine	(Aramaic) partial from uncertain primitive; a Dinaite or inhabitant of some unknown Assyria province; Dinaite.
H1785	דָּיֵק	dâyêq	daw-yake'	heb	Noun Masculine	from a root corresp. to דּוּק; a battering-tower; fort.
H1786	דַּיִשׁ	dayish	dah-yish'	heb	Noun Masculine	from דּוּשׁ; threshing-time; threshing.
H1787	דִּישׁוֹן	Dîyshôwn	dee-shone'	x-pn	Proper Name Masculine	(Diyshon, the same as דִּישֹׁן; Dishon, the name of two Edomites; Dishon.
H1788	דִּישֹׁן	dîyshôn	dee-shone'	heb	Noun Masculine	from דּוּשׁ; the leaper, i.e. an antelope; pygarg.
H1789	דִּישָׁן	Dîyshân	dee-shawn'	x-pn	Proper Name Masculine	another form of דִּישׁוֹן; Dishan, an Edomite; Dishan, Dishon.
H1790	דַּךְ	dak	dak	heb	Adjective	from an unused root (compare דָּכָה); crushed, i.e. (figuratively) injured; afflicted, oppressed.
H1791	דֵּךְ	dêk	dake	arc		(Aramaic) or דָּךְ; (Aramaic), prolonged from דָּא; this; the same, this.
H1792	דָּכָא	dâkâʼ	daw-kaw'	heb	Verb	a primitive root (compare דָּכָה); to crumble; transitively, to bruise (literally or figuratively); beat to pieces, break (in pieces), bruise, contrite, crush, destroy, humble, oppress, smite.
H1793	דַּכָּא	dakkâʼ	dak-kaw'	heb		from דָּכָא; crushed (literally powder, or figuratively, contrite); contrite, destruction.
H1794	דָּכָה	dâkâh	daw-kaw'	heb	Verb	a primitive root (compare דַּךְ, דָּכָא); to collapse (phys. or mentally); break (sore), contrite, crouch.
H1795	דַּכָּה	dakkâh	dak-kaw'	heb	Noun Feminine	from דָּכָה like דַּכָּא; mutilated; [phrase] wounded.
H1796	דֳּכִי	dŏkîy	dok-ee'	heb	Noun Masculine	from דָּכָה; a dashing of surf; wave.
H1797	דִּכֵּן	dikkên	dik-kane'	arc		(Aramaic) prolonged from דֵּךְ; this; same, that, this.
H1798	דְּכַר	dᵉkar	dek-ar'	arc	Noun Masculine	(Aramaic) corresponding to זָכָר; properly, a male, i.e. of sheep; ram.
H1799	דִּכְרוֹן	dikrôwn	dik-rone'	arc	Noun	(Aramaic) or דׇּכְרָן (Aramaic); corresponding to זִכְרוֹן; a register; record.
H1800	דַּל	dal	dal	heb	Adjective	from דָּלַל; properly, dangling, i.e. (by implication) weak or thin; lean, needy, poor (man), weaker.
H1801	דָּלַג	dâlag	daw-lag'	heb	Verb	a primitive root; to spring; leap.
H1802	דָּלָה	dâlâh	daw-law'	heb	Verb	a primitive root (compare דָּלַל); properly, to dangle, i.e. to let down abucket (for drawing out water); figuratively, to deliver; draw (out), [idiom] enough, lift up.
H1803	דַּלָּה	dallâh	dal-law'	heb	Noun Feminine	from דָּלָה; properly, something dangling, i.e. a loose thread or hair; figuratively, indigent; hair, pining sickness, poor(-est sort).
H1804	דָּלַח	dâlach	daw-lakh'	heb	Verb	a primitive root; to roil water; trouble.
H1805	דְּלִי	dᵉlîy	del-ee'	heb	Noun Masculine	or דֳּלִי; from דָּלָה; a pail or jar (for drawing water); bucket.
H1806	דְּלָיָה	Dᵉlâyâh	del-aw-yaw'	x-pn	Proper Name Masculine	or (prolonged) דְּלָיָהוּxlit Dᵉlâyâhhûw corrected to Dᵉlâyâhûw; from דָּלָה and יָהּ; Jah has delivered; Delajah, the name of five Israelites; Dalaiah, Delaiah.
H1807	דְּלִילָה	Dᵉlîylâh	del-ee-law'	x-pn	Proper Name Feminine	lemma דִּלִילָה first vowel, corrected to דְּלִילָה; from דָּלַל; languishing; Delilah, a Philistine woman; Delilah.
H1808	דָּלִיָּה	dâlîyâh	daw-lee-yaw'	heb	Noun Feminine	from דָּלָה; something dangling, i.e. a bough; branch.
H1809	דָּלַל	dâlal	daw-lal'	heb	Verb	a primitive root (compare דָּלָה); to slacken or be feeble; figuratively, to be oppressed; bring low, dry up, be emptied, be not equal, fail, be impoverished, be made thin.
H1810	דִּלְעָן	Dilʻân	dil-awn'	x-pn	Proper Name Location	of uncertain derivation; Dilan, a place in Palestine; Dilean.
H1811	דָּלַף	dâlaph	daw-laf'	heb	Verb	a primitive root; to drip; by implication, to weep; drop through, melt, pour out.
H1812	דֶּלֶף	deleph	deh'-lef	heb	Noun Masculine	from דָּלַף; a dripping; dropping.
H1813	דַּלְפוֹן	Dalphôwn	dal-fone'	x-pn	Proper Name Masculine	from דָּלַף; dripping; Dalphon, a son of Haman; Dalphon.
H1814	דָּלַק	dâlaq	daw-lak'	heb	Verb	a primitive root; to flame (literally or figuratively); burning, chase, inflame, kindle, persecute(-or), pursue hotly.
H1815	דְּלַק	dᵉlaq	del-ak'	arc	Verb	(Aramaic) corresponding to דָּלַק; {to flame (literally or figuratively)}; burn.
H1816	דַּלֶּקֶת	dalleqeth	dal-lek'-keth	heb	Noun Feminine	; from דָּלַק; a burning fever; inflammation.
H1817	דֶּלֶת	deleth	deh'-leth	heb	Noun Feminine	from דָּלָה; something swinging, i.e. the valve of adoor; door (two-leaved), gate, leaf, lid. (Psalm 141:3).
H1818	דָּם	dâm	dawm	heb	Noun Masculine	from דָּמַם (compare אָדַם); blood (as that which when shed causes death) of man or an animal; by analogy, the juice of the grape; figuratively (especially in the plural) bloodshed (i.e. drops of blood); blood(-y, -guiltiness, (-thirsty), [phrase] innocent.
H1819	דָּמָה	dâmâh	daw-maw'	heb	Verb	a primitive root; to compare; by implication, to resemble, liken, consider; compare, devise, (be) like(-n), mean, think, use similitudes.
H1820	דָּמָה	dâmâh	daw-mam'	heb	Verb	a primitive root; to be dumb or silent; hence, to fail or perish; trans. to destroy; cease, be cut down (off), destroy, be brought to silence, be undone, [idiom] utterly.
H1821	דְּמָה	dᵉmâh	dem-aw'	arc	Verb	(Aramaic) corresponding to דָּמָה; to resemble; be like.
H1822	דֻּמָּה	dummâh	doom-maw'	heb	Noun Feminine	from דָּמָה; desolation; concretely, desolate; destroy.
H1823	דְּמוּת	dᵉmûwth	dem-ooth'	heb		from דָּמָה; resemblance; concretely, model, shape; adverbially, like; fashion, like (-ness, as), manner, similitude.
H1824	דְּמִי	dᵉmîy	dem-ee'	heb	Noun Masculine	or דֳּמִי; from דָּמָה; quiet; cutting off, rest, silence.
H1825	דִּמְיוֹן	dimyôwn	dim-yone'	heb	Noun Masculine	from דָּמָה; resemblance; [idiom] like.
H1826	דָּמַם	dâmam	daw-man'	heb	Verb	a primitive root (compare דָּהַם, דָּמָה); to be dumb; by implication, to be astonished, to stop; also to perish; cease, be cut down (off), forbear, hold peace, quiet self, rest, be silent, keep (put to) silence, be (stand) still, tarry, wait.
H1827	דְּמָמָה	dᵉmâmâh	dem-aw-maw'	heb	Noun Feminine	feminine from דָּמַם; quiet; calm, silence, still.
H1828	דֹּמֶן	dômen	do'-men	heb	Noun Masculine	of uncertain derivation; manure; dung.
H1829	דִּמְנָה	Dimnâh	dim-naw'	x-pn	Proper Name Location	feminine from the same as דֹּמֶן; a dung-heap; Dimnah, a place in Palestine; Dimnah.
H1830	דָּמַע	dâmaʻ	daw-mah'	heb	Verb	a primitive root; to weep; [idiom] sore, weep.
H1831	דֶּמַע	demaʻ	dah'-mah	heb	Noun Masculine	from דָּמַע; a tear; figuratively, juice; liquor.
H1832	דִּמְעָה	dimʻâh	dim-aw'	heb	Noun Feminine	feminine of דֶּמַע; weeping; tears.
H1833	דְּמֶשֶׁק	dᵉmesheq	dem-eh'-shek	heb	Noun Masculine	by orthographical variation from דַּמֶּשֶׂק; damask (as a fabric of Damascus); in Damascus.
H1834	דַּמֶּשֶׂק	Dammeseq	dam-meh'-sek	x-pn	Proper Name Location	or דּוּמֶשֶׂק; or דַּרְמֶשֶׂק; of foreign origin; Damascus, a city of Syria; Damascus.
H1835	דָּן	Dân	dawn	x-pn	Proper Name Masculine	from דִּין; judge; Dan, one of the sons of Jacob; also the tribe descended from him, and its territory; likewise a place in Palestine colonized by them; Daniel
H1836	דֵּן	dên	dane	arc		(Aramaic) an orthographical variation of דֵּךְ; this; (afore-) time, [phrase] after this manner, here (-after), one...another, such, there(-fore), these, this (matter), [phrase] thus, where(-fore), which.
H1837	דַּנָּה	Dannâh	dan-naw'	x-pn	Proper Name Location	of uncertain derivation; Dannah, a place in Palestine; Dannah.
H1838	דִּנְהָבָה	Dinhâbâh	din-haw-baw'	x-pn	Proper Name Location	of uncertain derivation; Dinhabah, an Edomitish town; Dinhaban.
H1839	דָּנִי	Dânîy	daw-nee'	x-pn	Adjective	patronymically from דָּן; a Danite (often collectively) or descendants (or inhabitants) of Dan; Danites, of Daniel
H1840	דָנִיֵּאל	Dânîyêʼl	daw-nee-yale'	x-pn	Proper Name Masculine	in Ezekiel it is; דָּנִאֵל; from דָּן and אֵל; judge of God; Daniel or Danijel, the name of two Israelites; Daniel.
H1841	דָּנִיֵּאל	Dânîyêʼl	daw-nee-yale'	x-pn	Proper Name Masculine	(Aramaic) corresponding to דָנִיֵּאל; Danijel, the Hebrew prophet; Daniel.
H1842	דָּן יַעַן	Dân Yaʻan	dawn yah'-an	x-pn	Proper Name Location	from דָּן and (apparently) יַעַן; judge of purpose; Dan-Jaan, a place in Palestine; Dan-jaan.
H1843	דֵּעַ	dêaʻ	day'-ah	heb	Noun Masculine	from יָדַע; knowledge; knowledge, opinion.
H1844	דֵּעָה	dêʻâh	day-aw'	heb	Noun Feminine	feminine of דֵּעַ; knowledge; knowledge.
H1845	דְּעוּאֵל	Dᵉʻûwʼêl	deh-oo-ale'	x-pn	Proper Name Masculine	from יָדַע and אֵל; known of God; Deuel, an Israelite; Deuel.
H1846	דָּעַךְ	dâʻak	daw-ak'	heb	Verb	a primitive root; to be extinguished; figuratively, to expire or be dried up; be extinct, consumed, put out, quenched.
H1847	דַּעַת	daʻath	dah'-ath	heb	Noun	from יָדַע; knowledge; cunning, (ig-) norantly, know(-ledge), (un-) awares (wittingly).
H1848	דׇּפִי	dophîy	dof'-ee	heb	Noun Masculine	from an unused root (meaning to push over); a stumbling-block; slanderest.
H1849	דָּפַק	dâphaq	daw-fak'	heb	Verb	a primitive root; to knock; by analogy, to press severely; beat, knock, overdrive.
H1850	דׇּפְקָה	Dophqâh	dof-kaw'	x-pn	Proper Name Location	from דָּפַק; a knock; Dophkah, a place in the Desert; Dophkah.
H1851	דַּק	daq	dak	heb	Adjective	from דָּקַק; crushed, i.e. (by implication) small or thin; dwarf, lean(-fleshed), very little thing, small, thin.
H1852	דֹּק	dôq	doke	heb	Noun Masculine	from דָּקַק; something crumbling, i.e. fine (as a thin cloth); curtain.
H1853	דִּקְלָה	Diqlâh	dik-law'	x-pn		of foreign origin; Diklah, a region of Arabia; Diklah.
H1854	דָּקַק	dâqaq	daw-kak'	heb	Verb	a primitive root (compare הָדַךְlemma הָדךְ missing vowel, corrected to הָדַךְ); to crush (or intransitively) crumble; beat in pieces (small), bruise, make dust, (into) [idiom] powder, (be, very) small, stamp (small).
H1855	דְּקַק	dᵉqaq	dek-ak'	arc	Verb	(Aramaic) corresponding to דָּקַק; to crumble or (trans.) crush; break to pieces.
H1856	דָּקַר	dâqar	daw-kar'	heb	Verb	a primitive root; to stab; by analogy, to starve; figuratively, to revile; pierce, strike (thrust) through, wound.
H1857	דֶּקֶר	Deqer	deh'-ker	x-pn	Proper Name Masculine	from דָּקַר; a stab; Deker, an Israelite; Dekar.
H1858	דַּר	dar	dar	heb	Noun Masculine	apparently from the same as דְּרוֹר; properly, a pearl (from its sheen as rapidly turned); by analogy, pearl-stone, i.e. mother-of-pearl or alabaster; [idiom] white.
H1859	דָּר	dâr	dawr	arc	Noun Masculine	(Aramaic) corresponding to דּוֹר; an age; generation.
H1860	דְּרָאוֹן	dᵉrâʼôwn	der-aw-one'	heb	Noun Masculine	or דֵּרָאוֹן; from an unused root (meaning to repulse); an object of aversion; abhorring, contempt.
H1861	דׇּרְבוֹן	dorbôwn	dor-bone'	heb	Noun	(also dor-bawn'); of uncertain derivation; a goad; goad.
H1862	דַּרְדַּע	Dardaʻ	dar-dah'	x-pn	Proper Name Masculine	apparently from דַּר and דֵּעַ; pearl of knowledge; Darda, an Israelite; Darda.
H1863	דַּרְדַּר	dardar	dar-dar'	heb	Noun Masculine	of uncertain derivation; a thorn; thistle.
H1864	דָּרוֹם	dârôwm	daw-rome'	heb	Noun Masculine	of uncertain derivation; the south; poet. the south wind; south.
H1865	דְּרוֹר	dᵉrôwr	der-ore'	heb	Noun Masculine	from an unused root (meaning to move rapidly); freedom; hence, spontaneity of outflow, and so clear; liberty, pure.
H1866	דְּרוֹר	dᵉrôwr	der-ore'	heb	Noun Feminine	the same as דְּרוֹר, applied to a bird; the swift, a kind of swallow; swallow.
H1867	דָּֽרְיָוֵשׁ	Dârᵉyâvêsh	daw-reh-yaw-vaysh'	x-pn	Proper Name Masculine	of Persian origin; Darejavesh, a title (rather than name) of several Persian kings; Darius.
H1868	דָּֽרְיָוֵשׁ	Dârᵉyâvêsh	daw-reh-yaw-vaysh'	arc	Proper Name Masculine	(Aramaic) corresponding to דָּֽרְיָוֵשׁ; {Darejavesh, a title (rather than name) of several Persian kings}; Darius.
H1869	דָּרַךְ	dârak	daw-rak'	heb	Verb	a primitive root; to tread; by implication, to walk; also to string abow (by treading on it in bending); archer, bend, come, draw, go (over), guide, lead (forth), thresh, tread (down), walk.
H1870	דֶּרֶךְ	derek	deh'-rek	heb	Noun Masculine	from דָּרַךְ; a road (as trodden); figuratively, a course of life or mode of action, often adverb; along, away, because of, [phrase] by, conversation, custom, (east-) ward, journey, manner, passenger, through, toward, (high-) (path-) way(-side), whither(-soever).
H1871	דַּרְכְּמוֹן	darkᵉmôwn	dar-kem-one'	heb	Noun Masculine	of Persian origin; a 'drachma', or coin; dram.
H1872	דְּרַע	dᵉraʻ	der-aw'	arc	Noun Feminine	(Aramaic) corresponding to זְרוֹעַ; an arm; arm.
H1873	דָּרַע	Dâraʻ	daw-rah'	x-pn	Proper Name Masculine	probably a contraction from דַּרְדַּע; Dara, an Israelite; Dara.
H1874	דַּרְקוֹן	Darqôwn	dar-kone'	x-pn	Proper Name Masculine	of uncertain derivation; Darkon, one of 'Solomon's servants'; Darkon.
H1875	דָּרַשׁ	dârash	daw-rash'	heb	Verb	a primitive root; properly, to tread or frequent; usually to follow (for pursuit or search); by implication, to seek or ask; specifically to worship; ask, [idiom] at all, care for, [idiom] diligently, inquire, make inquisition, (necro-) mancer, question, require, search, seek (for, out), [idiom] surely.
H1876	דָּשָׁא	dâshâʼ	daw-shaw'	heb	Verb	a primitive root; to sprout; bring forth, spring.
H1877	דֶּשֶׁא	desheʼ	deh'-sheh	heb	Noun Masculine	from דָּשָׁא; a sprout; by analogy, grass; (tender) grass, green, (tender) herb.
H1878	דָּשֵׁן	dâshên	daw-shane'	heb	Verb	a primitive root; also denominatively (from דֶּשֶׁן); to be fat; transitively, to fatten (or regard as fat); specifically to anoint; figuratively, to satisfy;  to remove (fat) ashes (of sacrifices); accept, anoint, take away the (receive) ashes (from), make (wax) fat.
H1879	דָּשֵׁן	dâshên	daw-shane'	heb		from דָּשֵׁן; fat; figuratively, rich, fertile; fat.
H1880	דֶּשֶׁן	deshen	deh'-shen	heb	Noun Masculine	from דָּשֵׁן; the fat; abstractly fatness, i.e. (figuratively) abundance; specifically the (fatty) ashes of sacrifices; ashes, fatness.
H1881	דָּת	dâth	dawth	heb	Noun Feminine	of uncertain (perhaps foreign) derivation; a royal edict or statute; commandment, commission, decree, law, manner.
H1882	דָּת	dâth	dawth	arc	Noun Feminine	(Aramaic) corresponding to דָּת; {a royal edict or statute}; decree, law.
H1883	דֶּתֶא	detheʼ	deh'-thay	arc	Noun Masculine	(Aramaic) corresponding to דֶּשֶׁא; {a sprout; by analogy, grass}; tender grass.
H1884	דְּתָבָר	dᵉthâbâr	deth-aw-bawr'	arc	Noun Masculine	(Aramaic) of Persian origin; meaning one skilled in law; a judge; counsellor.
H1885	דָּתָן	Dâthân	daw-thawn'	x-pn	Proper Name Masculine	of uncertain derivation; Dathan, an Israelite; Dathan.
H1886	דֹּתָן	Dôthân	do'-thawn	x-pn	Proper Name Location	or (Aramaic dual) דֹּתַיִן; (Genesis 37:17), of uncertain derivation; Dothan, a place in Palestine; Dothan. h
H1887	הֵא	hêʼ	hay	heb	Interjection	a primitive particle; lo!; behold, lo.
H1888	הֵא	hêʼ	hay	arc		(Aramaic) or הָא; (Aramaic), corresponding to הֵא; {lo!}; even, lo.
H1889	הֶאָח	heʼâch	heh-awkh'	heb	Interjection	xlit heâch corrected to heʼâch; from הֵא and אָח; aha!; ah, aha, ha.
H1890	הַבְהָב	habhâb	hab-hawb'	heb	Noun Masculine	by reduplication from יָהַב; gift (in sacrifice), i.e. holocaust; offering.
H1891	הָבַל	hâbal	haw-bal'	heb	Verb	a primitive root; to be vain in act, word, or expectation; specifically to lead astray; be (become, make) vain.
H1892	הֶבֶל	hebel	heh'bel	heb	Noun Masculine	or (rarely in the abs.) הֲבֵל; from הָבַל; emptiness or vanity; figuratively, something transitory and unsatisfactory; often used as an adverb; [idiom] altogether, vain, vanity.
H1893	הֶבֶל	Hebel	heh'-bel	x-pn	Proper Name Masculine	the same as הֶבֶל; Hebel, the son of Adam; Abel.
H1894	הֹבֶן	hôben	ho'-ben	heb	Noun Masculine	only in plural, from an unused root meaning to be hard; ebony; ebony.
H1895	הָבַר	hâbar	haw-bar'	heb	Verb	a primitive root of uncertain (perhaps foreign) derivation; to be a horoscopist; [phrase] (astro-) loger.
H1896	הֵגֵא	Hêgêʼ	hay-gay'	x-pn	Proper Name Masculine	or (by permutation) הֵגַי; probably of Persian origin; Hege or Hegai, a eunuch of Xerxes; Hegai, Hege.
H1897	הָגָה	hâgâh	daw-gaw'	heb	Verb	a primitive root (compare הָגִיג); to murmur (in pleasure or anger); by implication, to ponder; imagine, meditate, mourn, mutter, roar, [idiom] sore, speak, study, talk, utter.
H1898	הָגָה	hâgâh	haw-gaw'	heb	Verb	a primitive root; to remove; stay, stay away.
H1899	הֶגֶה	hegeh	heh'-geh	heb	Noun Masculine	from הָגָה; a muttering (in sighing, thought, or as thunder); mourning, sound, tale.
H1900	הָגוּת	hâgûwth	haw-gooth'	heb	Noun Feminine	from הָגָה; musing; meditation.
H1901	הָגִיג	hâgîyg	haw-gheeg'	heb	Noun Masculine	from an unused root akin to הָגָה; properly, a murmur, i.e. complaint; meditation, musing.
H1902	הִגָּיוֹן	higgâyôwn	hig-gaw-yone'	heb	Noun Masculine	intensive from הָגָה; a murmuring sound, i.e. a musical notation (probably similar to the modern affettuoso to indicate solemnity of movement); by implication, a machination; device, Higgaion, meditation, solemn sound.
H1903	הָגִין	hâgîyn	haw-gheen'	heb	Adjective	of uncertain derivation; perhaps suitable or turning; directly.
H1904	הָגָר	Hâgâr	haw-gawr'	x-pn	Proper Name Feminine	of uncertain (perhaps foreign) derivation; Hagar, the mother of Ishmael; Hagar.
H1905	הַגְרִי	Hagrîy	hag-ree'	x-pn		or (prolonged) הַגְרִיאxlit Hagrîʼ corrected to Hagrîyʼ; perhaps patronymically from הָגָר; a Hagrite or member of a certain Arabian clan; Hagarene, Hagarite, Haggeri.
H1906	הֵד	hêd	hade	heb	Noun Masculine	for הֵידָד; a shout; sounding again.
H1907	הַדָּבָר	haddâbâr	had-daw-bawr'	arc	Noun Masculine	(Aramaic) probably of foreign origin; a vizier; counsellor.
H1908	הֲדַד	Hădad	had-ad'	x-pn	Proper Name Masculine	probably of foreign origin (compare אֲדַד); Hadad, the name of an idol, and of several kings of Edom; Hadad.
H1909	הֲדַדְעֶזֶר	Hădadʻezer	had-ad-eh'-zer	x-pn	Proper Name Masculine	from הֲדַד and עֵזֶר; Hadad (is his) help; Hadadezer, a Syrian king; Hadadezer. Compare הֲדַרְעֶזֶר.
H1910	הֲדַדְרִמּוֹן	Hădadrimmôwn	had-ad-rim-mone'	x-pn	Proper Name Location	from הֲדַד and רִמּוֹן; Hadad-Rimmon, a place in Palestine; Hadad-rimmon.
H1911	הָדָה	hâdâh	haw-daw'	heb	Verb	a primitive root (compare יָדָה); to stretch forth the hand; put.
H1912	הֹדוּ	Hôdûw	ho'-doo	x-pn	Proper Name Location	of foreign origin; Hodu (i.e. Hindustan); India.
H1913	הֲדוֹרָם	Hădôwrâm	had-o-rawm'	x-pn	Proper Name Masculine	or הֲדֹרָם; probably of foreign derivation; Hadoram, a son of Joktan, and the tribe descended from him; Hadoram.
H1914	הִדַּי	Hidday	hid-dah'ee	x-pn	Proper Name Masculine	of uncertain derivation; Hiddai, an Israelite; Hiddai.
H1915	הָדַךְ	hâdak	haw-dak'	heb	Verb	lemma הָדךְ missing vowel, corrected to הָדַךְ; a primitive root (compare דָּקַק); to crush with the foot; tread down.
H1916	הֲדֹם	hădôm	had-ome'	heb	Noun Masculine	from an unused root meaning to stamp upon; a foot stool; (foot-) stool.
H1917	הַדָּם	haddâm	had-dawm'	arc	Noun Masculine	(Aramaic) from a root corresponding to that of הֲדֹם; something stamped to pieces, i.e. a bit; piece.
H1918	הֲדַס	hădaç	had-as'	heb	Noun Masculine	of uncertain derivation; the myrtle; myrtle (tree).
H1919	הֲדַסָּה	Hădaççâh	had-as-saw'	x-pn	Proper Name Feminine	feminine of הֲדַס; Hadassah (or Esther); Hadassah.
H1920	הָדַף	hâdaph	haw-daf'	heb	Verb	a primitive root; to push away or down; cast away (out), drive, expel, thrust (away).
H1921	הָדַר	hâdar	haw-dar'	heb	Verb	a primitive root; to swell up (literally or figuratively, active or passive); by implication, to favor or honour, be high or proud; countenance, crooked place, glorious, honour, put forth.
H1922	הֲדַר	hădar	had-ar'	arc	Verb	lemma הֲדַּר extra dagesh, corrected to הֲדַר; (Aramaic) corresponding to הָדַר; to magnify (figuratively); glorify, honour.
H1923	הֲדַר	hădar	had-ar'	arc	Noun Masculine	(Aramaic) from הֲדַרlemma הֲדַּר extra dagesh, corrected to הֲדַר; magnificence; honour, majesty.
H1924	הֲדַר	Hădar	had-ar'	x-pn	Proper Name Masculine	the same as הָדָר; Hadar, an Edomite; Hadar.
H1925	הֶדֶר	heder	heh'-der	heb	Noun Masculine	from הָדַר; honour; used (figuratively) for the capital city (Jerusalem); glory.
H1926	הָדָר	hâdâr	haw-dawr'	heb	Noun Masculine	from הָדַר; magnificence, i.e. ornament or splendor; beauty, comeliness, excellency, glorious, glory, goodly, honour, majesty.
H1927	הֲדָרָה	hădârâh	had-aw-raw'	heb	Noun Feminine	feminine of הָדָר; decoration; beauty, honour.
H1928	הֲדַרְעֶזֶר	Hădarʻezer	had-ar-eh'-zer	x-pn	Proper Name Masculine	from הֲדַר and עֵזֶר; Hadar (i.e. Hadad, הֲדַד) is his help; (i.e. Hadadezer, הֲדַדְעֶזֶר); Hadarezer,  a Syrian king; Hadarezer.
H1929	הָהּ	hâhh	haw	heb	Interjection	a shortened form of אֲהָהּ; ah! expressing grief; woe worth.
H1930	הוֹ	hôw	ho	heb	Interjection	by permutation from הָהּ; oh!; alas.
H1931	הוּא	hûwʼ	hoo	heb		of which the feminine (beyond the Pentateuch) is הִיא; a primitive word, the third person pronoun singular; he (she or it); only expressed when emphatic or without a verb; also (intensively) self, or (especially with the article) the same; sometimes (as demonstrative) this or that; occasionally (instead of copula) as or are; he, as for her, him(-self), it, the same, she (herself), such, that (...it), these, they, this, those, which (is), who.
H1932	הוּא	hûwʼ	hoo	arc		(Aramaic) or (feminine) הִיא; (Aramaic), corresponding to הוּא; {he (she or it); self, or (especially with the article) the same; sometimes (as demonstrative) this or that; occasionally (instead of copula) as or are}; [idiom] are, it, this.
H1933	הָוָא	hâvâʼ	haw-vaw'	heb	Verb	or הָוָה; a primitive root (compare אָוָה, הָיָה) supposed to mean properly, to breathe; to be (in the sense of existence); be, [idiom] have.
H1934	הָוָא	hâvâʼ	hav-aw'	arc	Verb	(Aramaic) or הָוָה; (Aramaic), corresponding to הָוָא; to exist; used in a great variety of applications (especially in connection with other words); be, become, [phrase] behold, [phrase] came (to pass), [phrase] cease, [phrase] cleave, [phrase] consider, [phrase] do, [phrase] give, [phrase] have, [phrase] judge, [phrase] keep, [phrase] labour, [phrase] mingle (self), [phrase] put, [phrase] see, [phrase] seek, [phrase] set, [phrase] slay, [phrase] take heed, tremble, [phrase] walk, [phrase] would.
H1935	הוֹד	hôwd	hode	heb	Noun Masculine	from an unused root; grandeur (i.e. an imposing form and appearance); beauty, comeliness, excellency, glorious, glory, goodly, honour, majesty.
H1936	הוֹד	Hôwd	hode	x-pn	Proper Name Masculine	the same as הוֹד; Hod, an Israelite; Hod.
H1937	הוֹדְוָה	Hôwdᵉvâh	ho-dev-aw'	x-pn	Proper Name Masculine	a form of הוֹדַוְיָה; Hodevah (or Hodevjah), an Israelite; Hodevah.
H1938	הוֹדַוְיָה	Hôwdavyâh	ho-dav-yaw'	x-pn	Proper Name Masculine	from הוֹד and יָהּ; majesty of Jah; Hodavjah, the name of three Israelites; Hodaviah.
H1939	הוֹדַיְוָהוּ	Hôwdayvâhûw	ho-dah-yeh-vaw'-hoo	x-pn	Proper Name Masculine	a form of הוֹדַוְיָה; Hodajvah, an Israelite; Hodaiah.
